SYMBOL , QUANTITY , Lending Fee (Rs.),Turnover (Rs.),Weighted Average yield %,Count of Trades
PERSISTENT,558790,16406537.49,2750898340.09,5.57,1523
LTM,556001,13669754.86,2244854153.56,5.07,3354
IRFC,15226325,11449836.59,1497772900.05,7.15,5207
IRCTC,258248,410826.48,134354479.18,3.51,352
TCS,5341390,18026828.76,11507687126.56,1.45,7395
ONGC,10850,2319.65,2573444.65,4.01,18
MTARTECH,20134,371760.05,155992081.55,10.62,339
NAM-INDIA,637991,4974792.43,725395249.43,5.18,1125
BHARTIHEXA,26306,78432,38628381.6,3.85,35
AUROPHARMA,579,2697.91,876656.31,3.95,9
LUPIN,23737,32797.11,55579526.41,.91,27
THERMAX,1050,15504.75,5122494.75,7.83,15
AUBANK,1938,1942.16,1893738.76,1.13,12
NCC,5,4.95,802.65,17.42,2
GODFRYPHLP,71828,535111.45,162760802.75,3.12,275
NESTLEIND,1288,1778.51,1787475.41,1.59,8
UNIONBANK,35403,354.15,5759756.01,.06,2
RBLBANK,944,470.12,336616.17,1.9,6
SAIL,15098,4127.48,2602048.96,5.2,11
GODREJCP,9150,17357.61,9367742.61,11.29,6
SBILIFE,2725,7730.89,4796468.39,9.61,7
GAIL,21500,3050,3626240,.93,11
SKYGOLD,7,3.5,3550.4,2.77,1
ENGINERSIN,92,91.08,23873.08,10.75,1
NH,2,10,3819,2.81,1
BHARTIARTL,7937,9813.18,14876965.68,1.23,30
YESBANK,540,16.2,13494.6,3.37,1
SWSOLAR,81,404.5,20079.4,57.72,2
LICHSGFIN,4900,7321.45,2619756.45,2.92,9
ABREL,2,9.7,2496.7,4.06,1
360ONE,3,10.5,3421.2,.38,1
ATGL,339,847.5,249470.1,9.57,1
COHANCE,17,18.79,6908.04,7.65,2
RAMCOCEM,10072,12590,8940410.8,1.25,7
TATAPOWER,6147,1356.78,2473727.28,1.05,3
TIINDIA,198,990,599405.4,10.06,1
PIDILITIND,20,18,31462,1.6,1
MOREPENLAB,231,231,11811.03,56,1
TATAELXSI,953206,24011188.33,3911718235.63,5.79,5546
PIIND,63026,818794.59,179329889.49,3.95,407
MONQ50,6368,5425.67,923912.77,4.4,35
IDEAFORGE,18599,170413.1,16539755.8,8.04,102
MOTHERSON,24973713,24258939.01,3686938626.9,12.81,7163
CDSL,215567,423761.9,265447314.9,1.35,458
KRN,29003,245472.87,33384026.97,7.51,107
TORNTPHARM,127494,831145.14,566099633.14,1.15,308
RADICO,3614,7820.88,12749521.88,.44,18
MARUTI,476,5410.95,6392026.95,4.33,20
LAURUSLABS,16838,79136.68,24566909.18,12.96,55
ICICIGI,326,1900,578392.7,20.02,3
AMBUJACEM,82,31.47,34807.47,5.43,3
MAXHEALTH,2273,6796.27,2506858.12,2.61,3
DATAPATTNS,1,10,3849.9,2.79,1
DBREALTY,17802,25872.5,2077586.74,8.26,18
PARAS,70,170.55,76150.2,4.26,2
MSTCLTD,33740,226264.27,15392205.57,17.16,55
