ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE08XP07498,AKARA CAPITAL ADVISORS PRIVATE LIMITED SR A 12 NCD 07NV27 FVRS10000,02-Jul-2026,2000,20000000.00,96.52,15.90
INE342T07718,NAVI FINSERV LIMITED 10.30 NCD 31MR28 FVRS10000,02-Jul-2026,3276,32760000.00,99.42,11.20
INE020B08EK4,REC LIMITED SR 223B 7.46 BD 30JU28 FVRS1LAC,02-Jul-2026,5000,500000000.00,100.63,7.10
INE516Q07481,ASIRVAD MICRO FINANCE LIMITED 9.10 NCD 02JU28 FVRS1LAC,02-Jul-2026,45,4500000.00,99.56,9.75
INE033L07IP8,TATA CAPITAL HOUSING FINANCE LIMITED SR C 7.17 NCD 21MY30 FVRS1LAC,02-Jul-2026,2,200000.00,98.88,7.50
INE04VS07438,OXYZO FINANCIAL SERVICES LIMITED SR 2 9.60 NCD 14JU27 FVRS1LAC,02-Jul-2026,66,6600000.00,99.58,10.03
INE674K07143,ADITYA BIRLA CAPITAL LIMITED SR C1 8.26 NCD 16JU31 FVRS1LAC,01-Jul-2026,50,5000000.00,101.36,7.91
INE01YL07441,EARLYSALARY SERVICES PRIVATE LIMITED 10.50 NCD 04JL28 FVRS1LAC,02-Jul-2026,22,2200000.00,99.45,11.26
INE0M2307404,ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV H 9.15 BD 30NV33 FVRS1LAC,02-Jul-2026,31,3100000.00,101.91,9.07
INE0NES07303,KEERTANA FINSERV LIMITED 12 NCD 10MY28 FVRS10000,02-Jul-2026,2741,27410000.00,98.23,14.17
INE115A07QO2,LIC HOUSING FINANCE LTD TR 438 7.8350 NCD 11MY27 FVRS1LAC,01-Jul-2026,2500,250000000.00,100.33,7.35
INE0TLC07051,THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP E 9.3 BD 09MY31 FVRS1LAC,02-Jul-2026,2,200000.00,103.54,8.60
INE248U07GC5,360 ONE PRIME LIMITED 8.75 NCD 07OT27 FVRS1LAC,02-Jul-2026,5000,500000000.00,99.88,8.79
INE261F08EF5,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 24E 7.80 BD 15MR27 FVRS1LAC,01-Jul-2026,12500,1250000000.00,100.43,7.00
INE261F08EG3,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR F24 7.68 BD 30AP29 FVRS1LAC,01-Jul-2026,27500,2750000000.00,101.19,7.18
INE261F08EI9,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25A 7.70 BD 30SP27 FVRS1LAC,01-Jul-2026,2500,250000000.00,100.50,7.22
INE432R07455,TRUHOME FINANCE LIMITED SR 38 8.60 NCD 27AG27 FVRS1LAC,01-Jul-2026,30000,3000000000.00,100.26,8.31
INE403D08298,BHARTI TELECOM LIMITED SR XXVIII 7.40 NCD 01FB29 FVRS1LAC,30-Jun-2026,500,50000000.00,98.11,8.20
INE414G07JU8,MUTHOOT FINANCE LIMITED 7.85 NCD 22FB29 FVRS1LAC,01-Jul-2026,30000,3000000000.00,98.44,8.49
INE413U07442,IIFL SAMASTA FINANCE LIMITED 9.25 NCD 24DC28 FVRS10000,02-Jul-2026,30,300000.00,97.79,10.75
INE498L07137,L,01-Jul-2026,5000,500000000.00,99.70,7.53
INE540P07483,U.P. POWER CORPORATION LIMITED SR II E 9.95 BD 30MR29 FVRS10LAC,02-Jul-2026,1,1000000.00,104.03,8.30
INE556F08KU4,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR V 7.51 BD 12JU28 FVRS1LAC,01-Jul-2026,7500,750000000.00,100.44,7.25
INE831R07573,ADITYA BIRLA HOUSING FINANCE LIMITED SR A1 7.8618 NCD 07SP28 FVRS1LAC,01-Jul-2026,5000,500000000.00,100.55,7.55
INE891K07903,AXIS FINANCE LIMITED SR 09 OP B 8.29 NCD 26FB27 FVRS1LAC,01-Jul-2026,1000,100000000.00,100.01,8.03
INE031A08AC8,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED SR A 7.23 BD 18JL29 FVRS1LAC,02-Jul-2026,50000,5000000000.00,100.00,7.23
INE115A07RJ0,LIC HOUSING FINANCE LTD TR 458 7.57 NCD 23NV29 FVRS1LAC,02-Jul-2026,500,50000000.00,100.00,7.58
INE741K07611,CREDITACCESS GRAMEEN LIMITED 9.25 NCD 26JU28 FVRS1LAC,02-Jul-2026,7,700000.00,99.78,9.69
INE403Q07GX0,KOSAMATTAM FINANCE LIMITED 10 NCD 06JN29 FVRS1LAC,02-Jul-2026,15,1500000.00,99.93,10.50
INE774D07VQ5,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED SR AD2026 7.90 NCD 18JU29 FVRS1LAC,01-Jul-2026,20000,2000000000.00,100.51,7.69
INE414G07KB6,MUTHOOT FINANCE LIMITED 8.65 NCD 12JU31 FVRS1LAC,02-Jul-2026,500,50000000.00,100.27,8.57
INE121A07SS7,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED SR 662 7.94 NCD 20MR29 FVRS1LAC,01-Jul-2026,1000,100000000.00,100.01,7.90
INE787H07297,INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED 8.63 BD 12NV28 FVRS1000 LOA UPTO 27FB14,02-Jul-2026,18,18000.00,106.75,5.24
INE377Y07532,BAJAJ HOUSING FINANCE LIMITED 7.66 NCD 20MR28 FVRS1LAC,01-Jul-2026,5000,500000000.00,100.30,7.42
INE027A08044,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED SR II 7.6 BD 25JL29 FVRS1LAC,01-Jul-2026,1000,100000000.00,100.10,7.55
INE04VS07388,OXYZO FINANCIAL SERVICES LIMITED SR 3 9.75 NCD 27MR27 FVRS1LAC,02-Jul-2026,57,2442849.00,100.20,9.65
INE423A07534,ADANI ENTERPRISES LIMITED SR IV 8.75 NCD 12JN29 FVRS1000,02-Jul-2026,10000,10000000.00,99.67,8.85
INE020B08EX7,REC LIMITED SR 231A 7.64 BD 30AP27 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.41,7.02
INE053F07AB5,INDIAN RAILWAY FINANCE CORPORATION LIMITED SR-121 7.27BD15JU27FVRS10LACLOAUPTO31JL17,01-Jul-2026,50,50000000.00,100.05,7.20
INE020B08FJ3,REC LIMITED SR 239 BD 03NV34 FVRS1LAC,30-Jun-2026,23660,2366000000.00,56.20,7.15
INE031A07865,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED 7.51/8.01 BD 16FB28 FVRS1000 LOA UPTO 7MY13,02-Jul-2026,450,450000.00,103.35,5.28
INE033L07HU0,TATA CAPITAL HOUSING FINANCE LIMITED SR D OP II 7.8 NCD 05AG27 FVRS10LAC,02-Jul-2026,250,250000000.00,100.35,7.43
INE020B08EP3,REC LIMITED SR 227-A 7.77 BD 30SP26 FVRS1LAC,01-Jul-2026,39000,3900000000.00,100.25,6.35
INE134E08NP7,POWER FINANCE CORPORATION LIMITED SR 248B 7.45 NCD 15JL28 FVRS1LAC,01-Jul-2026,2500,250000000.00,100.53,7.15
INE146O08399,HINDUJA LEYLAND FINANCE LIMITED 9.25 NCD 09JL31 FVRS1LAC,02-Jul-2026,63,6300000.00,99.58,9.34
INE261F08DX0,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 23H 7.58 LOA 31JL26 FVRS1LAC,02-Jul-2026,75000,7500000000.00,100.07,6.27
INE501X07588,AYE FINANCE LIMITED 10.50 NCD 17NV26 FVRS1LAC,02-Jul-2026,9,900000.00,99.97,11.10
INE501X07646,AYE FINANCE LIMITED SR I 10.10 NCD 31MR27 FVRS55555.56,02-Jul-2026,291,9700001.94,100.04,10.50
INE312X08034,MAGMA GENERAL INSURANCE LIMITED 9.70 NCD 20MR34 FVRS1LAC,02-Jul-2026,500,50000000.00,100.10,9.61
INE443L07174,BELSTAR MICROFINANCE LIMITED SR II 9.2 NCD 12AG28 FVRS1LAC,02-Jul-2026,3,300000.00,100.68,9.10
INE377Y07607,BAJAJ HOUSING FINANCE LIMITED 7.10 NCD 16OT28 FVRS1LAC,01-Jul-2026,2500,250000000.00,99.22,7.45
INE306N07ND0,TATA CAPITAL LIMITED SR J 8 NCD 19OT27 FVRS10LAC,01-Jul-2026,250,250000000.00,100.42,7.60
INE476A08241,CANARA BANK SR I PP 8.27 BD FVRS1CR,01-Jul-2026,1,10000000.00,100.67,8.00
INE530B08201,IIFL FINANCE LIMITED SR PDI 1 9.90 PP NCD FVRS1CR,02-Jul-2026,30,300000000.00,99.75,9.92
INE658F08250,KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR F 9.49 BD 08OT33 FVRS1LAC,02-Jul-2026,12,1200000.00,102.40,9.32
INE539K07221,CREDILA FINANCIAL SERVICES LIMITED 8.15 NCD 07JL32 FVRS10LAC,02-Jul-2026,1,1000000.00,96.37,8.95
INE658F08540,KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VII STRPP F 9.30 BD 21JN35 FVRS1LAC,02-Jul-2026,10,1000000.00,101.73,9.30
INE556F08KP4,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR IX 7.68 BD 10AG27 FVRS1LAC,01-Jul-2026,7500,750000000.00,100.42,7.28
INE818W08164,ESAF SMALL FINANCE BANK LIMITED SR 4 11.65 NCD 23FB32 FVRS1LAC,02-Jul-2026,9,900000.00,102.53,11.50
INE721A07RC0,SHRIRAM FINANCE LIMITED SR PPD III OP 2 8.55 NCD 08SP32 FVRS10LAC,02-Jul-2026,5,5000000.00,101.90,8.13
INE884Q07822,MIDLAND MICROFIN LIMITED 11.70 NCD 30JU27 FVRS1LAC,02-Jul-2026,843,84300000.00,99.58,12.85
INE860H07GM3,ADITYA BIRLA CAPITAL LIMITED SR ABFL I 2 9.15 NCD 21DC28 FVRS10LAC,01-Jul-2026,100,100000000.00,102.17,8.09
INE860H07GM3,ADITYA BIRLA CAPITAL LIMITED SR ABFL I 2 9.15 NCD 21DC28 FVRS10LAC,02-Jul-2026,100,100000000.00,102.17,8.10
INE741K07611,CREDITACCESS GRAMEEN LIMITED 9.25 NCD 26JU28 FVRS1LAC,01-Jul-2026,10000,1000000000.00,99.35,9.95
INE0KUG08142,NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT SR NABFID20272 7.3700 BD 16JL29 FVRS1LAC,02-Jul-2026,20000,2000000000.00,100.33,7.24
INE813H07432,TORRENT POWER LIMITED SR 15 TR A 8.10 NCD 24JU29 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.67,7.83
INE09B308044,SLICE SMALL FINANCE BANK LIMITED 12 NCD 17DC31 FVRS1LAC,02-Jul-2026,500,50000000.00,98.60,13.07
INE2T2Q07220,HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY SR II STRPP M 8.50 BD 13JU42 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.95,8.65
INE2T2Q07295,HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY SR II STRPP K 8.50 BD 15JU40 FVRS1LAC,01-Jul-2026,10,1000000.00,101.27,8.60
