ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE020B08DA7,REC LIMITED SR 201B 6.90 BD 31MR31 FVRS10LAC,01-Jul-2026,250,250000000.00,98.87,7.19
INE046W07305,MUTHOOT MICROFIN LIMITED 9.8 NCD 04NV27 FVRS75000,02-Jul-2026,60,4500000.00,99.87,10.45
INE261F08ES8,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 26D 7.01 BD 16MR29 FVRS1LAC,01-Jul-2026,5000,500000000.00,99.48,7.20
INE0NES07287,KEERTANA FINSERV LIMITED 11.4 NCD 24OT27 FVRS10000,02-Jul-2026,19,190000.00,98.25,14.00
INE118D08078,NUVOCO VISTAS CORPORATION LIMITED 7.7 NCD 18SP28 FVRS1LAC,02-Jul-2026,500,50000000.00,98.86,8.25
INE160A08308,PUNJAB NATIONAL BANK SR XXI 8.47 PP BD FVRS1CR,01-Jul-2026,4,40000000.00,101.02,8.00
INE1C3207065,TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 D 9.35 NCD 31DC30 FVRS1LAC,02-Jul-2026,30,3000000.00,103.48,8.60
INE202B07JU8,PIRAMAL FINANCE LIMITED 9.1 NCD 28JU30 FVRS1LAC,02-Jul-2026,200,20000000.00,102.04,8.47
INE306N07NA6,TATA CAPITAL LIMITED SR H 7.68 NCD 07SP27 FVRS10LAC,01-Jul-2026,250,250000000.00,100.04,7.60
INE514E08EE3,EXPORT IMPORT BANK OF INDIA SR-R-16 8.83 BD 03NV29 FVRS10LAC,01-Jul-2026,350,350000000.00,105.29,6.97
INE516Y07444,PIRAMAL FINANCE LIMITED 6.75 LOA 26SP31 FVRS775,02-Jul-2026,5110,3960250.00,93.95,9.45
INE556F08KS8,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR III 7.34 BD 26FB29 FVRS1LAC,01-Jul-2026,25500,2550000000.00,100.25,7.23
INE556F08KW0,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VII 7.42 BD 12MR29 FVRS1LAC,01-Jul-2026,2500,250000000.00,100.50,7.18
INE906B07EI0,NATIONAL HIGHWAYS AUTHORITY OF INDIA SR IIA 7.35 BD 11JN31 FVRS1000,01-Jul-2026,25709,25709000.00,108.33,5.23
INE0KUG08134,NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT SR NABFID2027-1 7.74 BD 14MY36 FVRS1LAC,02-Jul-2026,320,32000000.00,101.40,7.52
INE06WU07064,LAXMI INDIA FINANCE LIMITED 11.487 NCD 28JU27 FVRS1LAC,02-Jul-2026,12,1200000.00,33.54,10.95
INE537P07901,INDIA INFRADEBT LIMITED SR I TR I 7.92 NCD 23DC31 FVRS1LAC,01-Jul-2026,10000,1000000000.00,100.00,7.93
INE556F08LF3,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR III 7.40 BD 18JU31 FVRS1LAC,01-Jul-2026,17500,1750000000.00,100.63,7.24
