ISIN,Descriptor,Trade Date,Quantity,Nominal Value,Weighted Average Price (Rs.),Weighted Average Yield (%)
INE040A16IT9,HDFC BANK LIMITED CD 09MAR27,02-Jul-26,1000,500000000,95.6436,6.65004663145260111497266936836338239045
INE556F16BU6,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA CD 18DEC26,01-Jul-26,1000,500000000,96.9781,6.72996146284207434889115360511241881127
INE238AD6BC1,AXIS BANK LIMITED CD 10AUG26,01-Jul-26,2000,1000000000,99.3472,6.1496835960534987784875048934831193415
INE028A16LF7,BANK OF BARODA CD 04FEB27,02-Jul-26,2000,1000000000,96.2243,6.60002909580534547040056864833538340295
INE556F16BT8,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA CD 16DEC26,02-Jul-26,500,250000000,97.1205,6.48011281250802486336576696021828799813
INE556F16CD0,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA CD 25MAR27,02-Jul-26,1000,500000000,95.3181,6.73997032477078156810161097853958308637
INE040A16HR5,HDFC BANK LIMITED CD 21SEP26,02-Jul-26,6500,3250000000,98.6644,6.09991490795509266203863241903304985835
INE562A16QO6,INDIAN BANK CD 10DEC26,02-Jul-26,500,250000000,97.2336,6.4500873915118266507265693805612373751
INE261F16AO8,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT CD 10MAR27,01-Jul-26,3000,1500000000,95.5662,6.7466927735511348349893983814982508725
INE238AD6CN6,AXIS BANK LIMITED CD 07DEC26,02-Jul-26,2600,1300000000,97.27906923076923076923076923076923076923,6.46150806014610229084462345676197014154
INE476A16J09,CANARA BANK CD 14AUG26,02-Jul-26,4000,2000000000,99.293475,6.03992081938768933399388231203884812715
INE084A16FX5,BANK OF INDIA CD 11AUG26,01-Jul-26,4000,2000000000,99.3305,6.15036418824026859826538676438757481338
INE261F16AF6,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT CD 22JAN27,02-Jul-26,4000,2000000000,96.4061,6.6699744672815939907471887050674992883
INE040A16HN4,HDFC BANK LIMITED CD 11SEP26,02-Jul-26,2400,1200000000,98.8273,6.10020613138728574215173451744666036642
INE476A16I26,CANARA BANK CD 25MAR27,01-Jul-26,5500,2750000000,95.36627272727272727272727272727272727273,6.6672554289839383661196918782918047866
INE238AD6BO6,AXIS BANK LIMITED CD 26NOV26,01-Jul-26,1000,500000000,97.449,6.49992883073043684528373222679255285321
INE562A16QI8,INDIAN BANK CD 05FEB27,02-Jul-26,1000,500000000,96.2131,6.59000888118393994279460638020462967149
INE476A16J41,CANARA BANK CD 01SEP26,02-Jul-26,500,250000000,98.9974,6.05992069935799274344247557155582857333
INE040A16IM4,HDFC BANK LIMITED CD 05FEB27,01-Jul-26,10000,5000000000,96.1247,6.75004552334031932126238582503348598513
INE160A16UD4,PUNJAB NATIONAL BANK CD 04FEB27,01-Jul-26,1000,500000000,96.1858,6.66999688285708708950044486193306765642
INE160A16UE2,PUNJAB NATIONAL BANK CD 05FEB27,01-Jul-26,2000,1000000000,96.1689,6.6699904251981135521496149058316274041
INE261F16AD1,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT CD 14JAN27,01-Jul-26,1000,500000000,96.4621,6.83007753769594060088609613389663940977
INE095A162F5,INDUSIND BANK LTD. CD 09MAR27,01-Jul-26,500,250000000,95.4872,6.90007456496787003912566291607670975796
INE556F16BN1,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA CD 27OCT26,01-Jul-26,500,250000000,97.9282,6.60004747591367175919940087973402177075
