ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE093JA7W63,ANAND RATHI GLOBAL FINANCE LIMITED SR SP31 V BR NCD 18AG26 FVRS1LAC,02-Jul-2026,85,8500000.00,218.54,7.50
INE093JA7W71,ANAND RATHI GLOBAL FINANCE LIMITED SR SP31 VI BR NCD  18AG26 FVRS1LAC,02-Jul-2026,96,9600000.00,242.63,7.50
INE093JA7U24,ANAND RATHI GLOBAL FINANCE LIMITED SR SP24 IV BR NCD 29JL26 FVRS1LAC,02-Jul-2026,8,800000.00,244.52,7.50
INE093JB7G79,ANAND RATHI GLOBAL FINANCE LIMITED SR I ARG25SP24 BR NCD 16JL29 FVRS1LAC,02-Jul-2026,80,8000000.00,131.20,8.00
INE093JA72H4,ANAND RATHI GLOBAL FINANCE LIMITED SR SP60 VI BR NCD 18NV26 FVRS1LAC,02-Jul-2026,46,4600000.00,241.09,7.50
INE093J075H8,ANAND RATHI GLOBAL FINANCE LIMITED SR-III BR NCD 20JL26 FVRS1LAC,02-Jul-2026,14,1400000.00,287.40,7.50
INE093J072P8,ANAND RATHI GLOBAL FINANCE LIMITED SR II BR NCD 11SP26 FVRS1LAC,02-Jul-2026,24,2400000.00,299.38,7.50
INE093JA7CV5,ANAND RATHI GLOBAL FINANCE LIMITED SR V BR NCD 18MR27 FVRS1LAC,02-Jul-2026,43,4300000.00,267.31,7.50
INE093JA7S77,ANAND RATHI GLOBAL FINANCE LIMITED SR SP20 III BR NCD 19JL26 FVRS1LAC,02-Jul-2026,22,2200000.00,221.51,7.50
INE093JB7SX6,ANAND RATHI GLOBAL FINANCE LIMITED SR I ARG24SP131 BR NCD 13AG29 FVRS1LAC,02-Jul-2026,22,2200000.00,105.10,8.00
INE093JB7YB0,ANAND RATHI GLOBAL FINANCE LIMITED SR IV ARG24SP190 BR NCD 14MY29 FVRS1LAC,02-Jul-2026,80,8000000.00,133.07,8.00
INE0BBH07059,APEX HOMES PRIVATE LIMITED SR 1 NCD 30OT27 FVRS86666.67,02-Jul-2026,4837,419206682.79,104.33,14.00
INE0PM707406,MPOKKET FINANCIAL SERVICES PRIVATE LIMITED SR 3-C 14.8 NCD 31MR27 FVRS10LAC,02-Jul-2026,16,16000000.00,60.00,14.80
INE774D07VM4,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED SR AF2023 STRPP2 8.25 NCD 28MR28 FVRS1LAC,01-Jul-2026,2500,250000000.00,100.87,7.65
INE093JA7U99,ANAND RATHI GLOBAL FINANCE LIMITED SR SP26 I BR NCD 05AG26 FVRS1LAC,02-Jul-2026,44,4400000.00,243.75,7.50
INE093JA7V07,ANAND RATHI GLOBAL FINANCE LIMITED SR SP26 II BR NCD 05AG26 FVRS1LAC,02-Jul-2026,28,2800000.00,219.29,7.50
INE093JA7V49,ANAND RATHI GLOBAL FINANCE LIMITED SR SP29 I BR NCD 12AG26 FVRS1LAC,02-Jul-2026,58,5800000.00,218.89,7.50
INE093JB7JC9,ANAND RATHI GLOBAL FINANCE LIMITED SR II ARG24SP14 BR NCD 23JU28 FVRS1LAC,02-Jul-2026,80,8000000.00,182.25,7.50
