ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE093JA78I9,ANAND RATHI GLOBAL FINANCE LIMITED SR SP66 III BR NCD 30NV26 FVRS1LAC,02-Jul-26,55,5500000,239.71,7.5
INE093JA75F1,ANAND RATHI GLOBAL FINANCE LIMITED SR SP56 II BR NCD 10NV26 FVRS1LAC,02-Jul-26,39,3900000,216.81,7.5
INE0M2307370,ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV C 9.15 BD 30NV28 FVRS1LAC,01-Jul-26,28,2800000,101.05,8.85
INE403Q07HB4,KOSAMATTAM FINANCE LIMITED OP III 9.25 NCD 27MY29 FVRS1000,01-Jul-26,10,10000,96.91,11
INE423A07450,ADANI ENTERPRISES LIMITED SR I 8.95 NCD 17JL27 FVRS1000,01-Jul-26,1,1000,100.59,8.35
INE093JA70L0,ANAND RATHI GLOBAL FINANCE LIMITED SR SP74 V BR NCD 14DC26 FVRS1LAC,02-Jul-26,40,4000000,178.5,7.5
INE08XP07498,AKARA CAPITAL ADVISORS PRIVATE LIMITED SR A 12 NCD 07NV27 FVRS10000,01-Jul-26,153,1530000,98.81,13.75
INE340A07084,BIRLA CORPORATION LIMITED SR-VI 9.25 LOA 18AG26 FVRS400000,01-Jul-26,125,50000000,40.0722,7.25
