1,ABLBL,INE14LE01019,96.12,12.6
2,AARTIPHARM,INE0LRU01027,701.7,17.8
3,ARSSBL,INE549H01021,560.3,14.47
4,DEEPAKNTR,INE288B01029,1548.8,12.36
5,THANGAMAYL,INE085J01014,5945.5,22.91
6,INDIAGLYCO,INE560A01023,1028.3,16.91
7,GVT&D,INE200A01026,4895.7,18.72
8,NFL,INE870D01012,74.76,15.18
9,VIKRAN,INE01R501028,74.8,17.69
10,MARUTI,INE585B01010,14395,9.66
11,HYUNDAI,INE0V6F01027,1918.3,10.96
12,SILVERAG,INF769K01KG6,215.01,22.68
13,BLUESTARCO,INE472A01039,1606.4,13.76
14,SGBJAN29IX,IN0020200377,14048.4,10
15,ITI,INE248A01017,301.8,19.05
16,PGEL,INE457L01029,550.8,21.8
17,PREMIERENE,INE0BS701011,1051.6,14.98
18,SGBSEP27,IN0020190115,14019,10
19,SKYGOLD,INE01IU01018,528.9,21.35
20,BECTORFOOD,INE495P01020,178.56,14.88
21,RECLTD,INE020B01018,370.1,13.47
22,SGBAUG27,IN0020190107,14029.88,10
23,GOKULAGRO,INE314T01033,203.89,18.97
24,FLUOROCHEM,INE09N301011,3930.9,12.68
25,GOLDCASE,INF0R8F01042,21.94,11.33
26,SILVERBETA,INF789F1AYK6,213.61,22.53
27,PAGEIND,INE761H01022,43610,9.91
28,EICHERMOT,INE066A01021,7139,11.13
29,NMDC,INE584A01023,84.3,12.69
30,KIRLOSENG,INE146L01010,2341.1,19.55
31,SAGILITY,INE0W2G01015,39.64,14.47
32,MOIL,INE490G01020,278.85,16.88
33,ANANTRAJ,INE242C01024,516.9,20.88
34,ETERNAL,INE758T01015,279.7,15.11
35,LMW,INE269B01029,15894,12.44
36,TIINDIA,INE974X01010,3097,14.65
37,CHAMBLFERT,INE085A01013,472.4,13.16
38,KIRLPNU,INE811A01020,2000.9,17.3
39,JSWCEMENT,INE718I01012,136.7,10.28
40,HSCL,INE019C01026,645.55,15.4
41,RCF,INE027A01015,131.72,15.99
42,SANDHAR,INE278H01035,707.25,18.43
43,NCC,INE868B01028,149.61,14.17
44,IREDA,INE202E01016,127.93,15.12
45,WALCHANNAG,INE711A01022,242.05,25.86
46,TITAN,INE280A01028,4398.6,9.73
47,BASF,INE373A01013,3564.7,13.63
48,NIFTYIETF,INF109K012R6,271.58,9
49,HDFCBANK,INE040A01034,796.15,9
50,HINDALCO,INE038A01020,939.7,12.09
51,TRANSRAILL,INE454P01035,517.6,16.34
52,LIQUIDBEES,INF732E01037,1000,5
53,POWERINDIA,INE07Y701011,34250,19.29
54,TATACONSUM,INE192A01025,1090.9,9.54
55,SENORES,INE0RB801010,1313.1,17.4
56,SGBMAR30X,IN0020210319,14259.7,10
57,YATRA,INE0JR601024,115.46,24.69
