Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
02-Jul-26,BHARTIARTL,1875.2,1871,  0.00224227,  0.01311371,  0.01308187,  0.24992875,1880.4,1873.1,  0.00388971,  0.01261071,  0.01258215,  0.24038164,  0.01308187,  0.24992875
02-Jul-26,BHEL,401.95,413.95, -0.02941749,  0.02445293,  0.02448034,  0.46769630,403,414.95, -0.02922147,  0.02463170,  0.02465676,  0.47106676,  0.02465676,  0.47106676
02-Jul-26,BIOCON,418.6,418.2,  0.00095602,  0.01790695,  0.01786229,  0.34125850,421.05,420.3,  0.00178285,  0.01800290,  0.01795816,  0.34309010,  0.01795816,  0.34309010
02-Jul-26,BLUESTARCO,1599.1,1606.5, -0.00461693,  0.02149028,  0.02143892,  0.40959005,1598.6,1605.3, -0.00418241,  0.02170619,  0.02165391,  0.41369730,  0.02165391,  0.41369730
02-Jul-26,BOSCHLTD,41515,40785,  0.01774044,  0.01788438,  0.01788363,  0.34166635,41775,40935,  0.02031263,  0.01797716,  0.01798964,  0.34369157,  0.01798964,  0.34369157
02-Jul-26,BPCL,310.45,304.2,  0.02033748,  0.01973892,  0.01974208,  0.37717200,312,304.95,  0.02285536,  0.01983982,  0.01985608,  0.37934979,  0.01985608,  0.37934979
02-Jul-26,BRITANNIA,5374,5262,  0.02106133,  0.01290960,  0.01296320,  0.24766162,5388,5275.5,  0.02110080,  0.01302324,  0.01307586,  0.24981403,  0.01307586,  0.24981403
02-Jul-26,BSE,3834.7,3944.1, -0.02812959,  0.02890145,  0.02889758,  0.55208742,3832.4,3958.8, -0.03244971,  0.02886893,  0.02888802,  0.55190489,  0.02889758,  0.55208742
02-Jul-26,CAMS,798.15,792.2,  0.00748266,  0.02106023,  0.02101410,  0.40147377,799,793.1,  0.00741163,  0.02171257,  0.02166466,  0.41390273,  0.02166466,  0.41390273
02-Jul-26,CANBK,126.64,126.28,  0.00284675,  0.02008050,  0.02003133,  0.38269811,127.27,126.89,  0.00299024,  0.02024483,  0.02019518,  0.38582845,  0.02019518,  0.38582845
02-Jul-26,CDSL,1350.8,1332.4,  0.01371518,  0.02253439,  0.02249892,  0.42984132,1340.1,1327.5,  0.00944676,  0.02333099,  0.02328228,  0.44480731,  0.02328228,  0.44480731
