INFOSYS LIMITED               ,INFY      ,X7,07-JUL-2026,N,0000000.05,0000000.05,0000000.05,0000000.05,0000000.05,    ,          4600,            230.00,0000005.40,0000000.02,02-JUL-2026,       1
INDIAN RENEWABLE ENERGY       ,IREDA     ,X7,07-JUL-2026,N,0000000.01,0000000.05,0000000.05,0000000.03,0000000.05,    ,          1127,             49.07,0000008.00,0000000.01,02-JUL-2026,       5
INDIAN RENEWABLE ENERGY       ,IREDA     ,X8,04-AUG-2026,N,0000002.50,0000000.15,0000002.75,0000000.15,0000001.59,    ,         33620,          67271.27,0000010.00,0000000.01,02-JUL-2026,      55
INDIAN RENEWABLE ENERGY       ,IREDA     ,X9,01-SEP-2026,N,0000000.04,0000001.02,0000001.51,0000001.02,0000001.51,    ,           407,            612.12,0000002.10,0000000.01,02-JUL-2026,       4
INDIAN RAILWAY FIN CORP L     ,IRFC      ,X8,04-AUG-2026,N,0000000.06,0000000.35,0000000.35,0000000.06,0000000.30,    ,         26017,           7818.37,0000001.98,0000000.01,02-JUL-2026,       4
INDIAN RAILWAY FIN CORP L     ,IRFC      ,X9,01-SEP-2026,N,0000000.01,0000001.00,0000001.00,0000001.00,0000001.00,    ,          1992,           1992.00,0000015.00,0000000.01,02-JUL-2026,       3
NIP IND ETF IT                ,ITBEES    ,X7,07-JUL-2026,N,0000000.04,0000000.01,0000000.02,0000000.01,0000000.02,    ,           100,              1.80,0000002.00,0000000.01,02-JUL-2026,       2
JUBILANT FOODWORKS LTD        ,JUBLFOOD  ,X7,07-JUL-2026,N,0000000.60,0000001.00,0000001.00,0000001.00,0000001.00,    ,            65,             65.00,0000011.00,0000000.05,02-JUL-2026,       1
KAYNES TECHNOLOGY IND LTD     ,KAYNES    ,X6,01-JUN-2027,N,0000320.13,0000100.00,0000100.00,0000100.00,0000100.00,    ,             2,            200.00,0000320.13,0000001.00,02-JUL-2026,       1
KAYNES TECHNOLOGY IND LTD     ,KAYNES    ,X8,04-AUG-2026,N,0000006.00,0000006.10,0000061.00,0000006.10,0000028.50,    ,           836,          19007.90,0000133.98,0000000.01,02-JUL-2026,      17
KAYNES TECHNOLOGY IND LTD     ,KAYNES    ,X9,01-SEP-2026,N,0000010.00,0000010.00,0000010.00,0000010.00,0000010.00,    ,             1,             10.00,0000020.00,0000005.00,02-JUL-2026,       1
KEI INDUSTRIES LTD.           ,KEI       ,X8,04-AUG-2026,N,0000051.00,0000045.00,0000065.00,0000036.01,0000050.00,    ,         10850,         594984.81,0000400.01,0000002.50,02-JUL-2026,      76
KFIN TECHNOLOGIES LIMITED     ,KFINTECH  ,X8,04-AUG-2026,N,0000003.50,0000003.50,0000010.00,0000001.05,0000003.01,    ,          2787,          14387.54,0000017.60,0000001.05,02-JUL-2026,      22
KFIN TECHNOLOGIES LIMITED     ,KFINTECH  ,X9,01-SEP-2026,N,0000002.00,0000002.00,0000005.00,0000002.00,0000005.00,    ,           414,           1878.00,0000010.00,0000001.80,02-JUL-2026,       3
KPIT TECHNOLOGIES LIMITED     ,KPITTECH  ,X8,04-AUG-2026,N,0000008.00,0000006.00,0000008.30,0000005.10,0000008.20,    ,         13785,         108174.68,0000035.00,0000000.10,02-JUL-2026,      47
LIFE INSURA CORP OF INDIA     ,LICI      ,X8,04-AUG-2026,N,0000001.60,0000002.50,0000002.50,0000002.50,0000002.50,    ,           220,            550.00,0000006.00,0000001.00,02-JUL-2026,       4
L&T FINANCE LIMITED           ,LTF       ,X8,04-AUG-2026,N,0000000.40,0000000.40,0000000.40,0000000.40,0000000.40,    ,         14579,           5831.60,0000005.50,0000000.01,02-JUL-2026,       3
LTM LIMITED                   ,LTM       ,X2,02-FEB-2027,N,0000065.06,0000065.06,0000065.06,0000065.06,0000065.06,    ,             1,             65.06,0000065.06,0000000.01,02-JUL-2026,       1
MIRAEAMC - MAFANG             ,MAFANG    ,X8,04-AUG-2026,N,0000000.50,0000000.50,0000000.50,0000000.50,0000000.50,    ,         25000,          12500.00,0000000.60,0000000.50,02-JUL-2026,       4
MIRAEAMC - MAFANG             ,MAFANG    ,X9,01-SEP-2026,N,0000001.00,0000001.00,0000001.00,0000001.00,0000001.00,    ,         25000,          25000.00,0000001.00,0000000.25,02-JUL-2026,       4
MIRAEAMC - MAHKTECH           ,MAHKTECH  ,X9,01-SEP-2026,N,0000000.15,0000000.15,0000000.15,0000000.15,0000000.15,    ,         20100,           3015.00,0000000.18,0000000.15,02-JUL-2026,       1
MANORAMA INDUSTRIES LTD       ,MANORAMA  ,X8,04-AUG-2026,N,0000005.00,0000002.00,0000008.00,0000002.00,0000007.00,    ,         32000,         224735.75,0000010.00,0000002.00,02-JUL-2026,      15
