Symbol,Series,Name,Band,Remarks
PROV,SM,Proventus Agrocom Limited,20,"-"
PSFL,SM,Paramount Speciality Forgings Limited,20,"-"
PUSHPA,SM,Pushpa Jewellers Limited,20,"-"
QLINE,SM,Q-Line Biotech Limited,20,"-"
QUESTLAB,SM,Quest Laboratories Limited,20,"-"
RAJINDLTD,SM,Rajputana Industries Limited,20,"-"
RAJPUTANA,SM,Rajputana Biodiesel Limited,20,"-"
RAPIDFLEET,SM,Rapid Fleet Management Services Limited,20,"-"
RAPPID,SM,Rappid Valves (India) Limited,20,"-"
RBMINFRA,SM,Rbm Infracon Limited,20,"-"
RCDL,SM,Rajgor Castor Derivatives Limited,20,"-"
READYMIX,SM,Readymix Construction Machinery Limited,20,"-"
REMUS,SM,Remus Pharmaceuticals Limited,20,"-"
RFBL,SM,RFBL Flexi Pack Limited,20,"-"
RILINFRA,SM,Rachana Infrastructure Limited,20,"-"
RNFI,SM,RNFI Services Limited,20,"-"
ROCKINGDCE,SM,Rockingdeals Circular Economy Limited,20,"-"
ROYALARC,SM,Royal Arc Electrodes Limited,20,"-"
RTL,SM,Rama Telecom Limited,20,"-"
RULKA,SM,Rulka Electricals Limited,20,"-"
SACHEEROME,SM,Sacheerome Limited,20,"-"
SADHAV,SM,Sadhav Shipping Limited,20,"-"
SAFEENTP,SM,Safe Enterprises Retail Fixtures Limited,20,"-"
SAHAJSOLAR,SM,Sahaj Solar Limited,20,"-"
SAHANA,SM,Sahana System Limited,20,"-"
SAJHOTELS,SM,Saj Hotels Limited,20,"-"
SATTVAENGG,SM,Sattva Engineering Construction Limited,20,"-"
SAVY,SM,Savy Infra and Logistics Limited,20,"-"
SAWALIYA,SM,Sawaliya Food Products Limited,20,"-"
SDREAMS,SM,S D Retail Limited,20,"-"
SELLOWRAP,SM,Sellowrap Industries Limited,20,"-"
SFML,SM,Supreme Facility Management Limited,20,"-"
SHANTHALA,SM,Shanthala FMCG Products Limited,20,"-"
SHEETAL,SM,Sheetal Universal Limited,20,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,20,"-"
SHIVASHRIT,SM,Shivashrit Foods Limited,20,"-"
SHKSIL,SM,Shri Hare-Krishna Sponge Iron Limited,20,"-"
SHREEKARNI,SM,Shree Karni Fabcom Limited,20,"-"
SHREEOSFM,SM,Shree OSFM E-Mobility Limited,20,"-"
SHRITECH,SM,Shri Techtex Limited,20,"-"
SHUBHSHREE,SM,Shubhshree Biofuels Energy Limited,20,"-"
SIDDHICOTS,SM,Siddhi Cotspin Limited,20,"-"
SILKY,SM,Silky Overseas Limited,20,"-"
SIMCA,SM,Simca Advertising Limited,20,"-"
SJLOGISTIC,SM,S J Logistics (India) Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SPCL,SM,Shivalic Power Control Limited,20,"-"
SPCON,SM,Srinibas Pradhan Constructions Limited,20,"-"
SPUNWEB,SM,Spunweb Nonwoven Limited,20,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,20,"-"
SSEGL,SM,Sathlokhar Synergys E&C Global Limited,20,"-"
STRIDERS,SM,Striders Impex Limited,20,"-"
SUBAHOTELS,SM,Suba Hotels Limited,20,"-"
SUNREST,SM,Sunrest Lifescience Limited,20,"-"
SWARAJ,SM,Swaraj Suiting Limited,20,"-"
SYSTANGO,SM,Systango Technologies Limited,20,"-"
TAURIAN,SM,Taurian MPS Limited,20,"-"
TBI,SM,TBI Corn Limited,20,"-"
TCL,SM,Thaai Casting Limited,20,"-"
TEAMTECH,SM,Teamtech Formwork Solutions Limited,20,"-"
TRANSTEEL,SM,Transteel Seating Technologies Limited,20,"-"
TRUST,SM,Trust Fintech Limited,20,"-"
TSC,SM,TSC India Limited,20,"-"
TUNWAL,SM,Tunwal E-Motors Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
UNILEX,SM,Unilex Colours and Chemicals Limited,20,"-"
URBAN,SM,Urban Enviro Waste Management Limited,20,"-"
USHAFIN,SM,Usha Financial Services Limited,20,"-"
VALUE360,SM,Value 360 Communications Limited,20,"-"
VDEAL,SM,Vdeal System Limited,20,"-"
VGINFOTECH,SM,Virtual Galaxy Infotech Limited,20,"-"
VIESL,SM,Vision Infra Equipment Solutions Limited,20,"-"
VILAS,SM,Vilas Transcore Limited,20,"-"
VINYAS,SM,Vinyas Innovative Technologies Limited,20,"-"
VISHNUINFR,SM,Vishnusurya Projects and Infra Limited,20,"-"
VMARCIND,SM,V Marc India Limited,20,"-"
VOLERCAR,SM,Voler Car Limited,20,"-"
WINSOL,SM,Winsol Engineers Limited,20,"-"
WOMANCART,SM,Womancart Limited,20,"-"
YASHOPTICS,SM,Yash Optics & Lens Limited,20,"-"
YCCL,SM,Yasons Chemex Care Limited,20,"-"
ZEAL,SM,Zeal Global Services Limited,20,"-"
ZENITHDRUG,SM,Zenith Drugs Limited,20,"-"
ZTECH,SM,Z-Tech (India) Limited,20,"-"
