Symbol,Series,Name,Band,Remarks
GREENLEAF,ST,Greenleaf Envirotech Limited,5,"-"
GRETEX,ST,Gretex Industries Limited,5,"-"
GURUNANAK,ST,Gurunanak Agriculture India Limited,5,"-"
HOACFOODS,ST,Hoac Foods India Limited,5,"-"
HOLMARC,SM,Holmarc Opto-Mechatronics Limited,5,"-"
HOMESFY,SM,Homesfy Realty Limited,5,"-"
HPTL,SM,HP Telecom India Limited,5,"-"
HRHNEXT,SM,HRH Next Services Limited,5,"-"
HVAX,SM,HVAX Technologies Limited,5,"-"
IBLFL,SM,IBL Finance Limited,5,"-"
IDENTICAL,ST,Identical Brains Studios Limited,5,"-"
IEML,SM,Indian Emulsifiers Limited,5,"-"
INDIFRA,SM,Indifra Limited,5,"GSM STAGE - 0"
INFINIUM,SM,Infinium Pharmachem Limited,5,"-"
INSPIRE,ST,Inspire Films Limited,5,"-"
INTEGRITY,ST,Integrity Infrabuild Developers Limited,5,"-"
INVICTA,ST,Invicta Diagnostic Limited,5,"-"
ISHAN,SM,Ishan International Limited,5,"-"
IWARE,ST,Iware Supplychain Services Limited,5,"-"
JAINAM,SM,Jainam Ferro Alloys (I) Limited,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JALAN,ST,Jalan Transolutions (India) Limited,5,"GSM STAGE - 0"
JAYBEE,ST,Jay Bee Laminations Limited,5,"-"
JETKNIT,ST,Jet Knitwears Limited,5,"-"
JEYYAM,ST,Jeyyam Global Foods Limited,5,"-"
JFLLIFE,SM,Jfl Life Sciences Limited,5,"-"
JYOTIGLOBL,ST,Jyoti Global Plast Limited,5,"-"
K2INFRA,ST,K2 Infragen Limited,5,"-"
KCEIL,ST,Kay Cee Energy & Infra Limited,5,"-"
KDL,SM,Kore Digital Limited,5,"-"
KKVAPOW,SM,KKV Agro Powers Limited,5,"-"
KONSTELEC,ST,Konstelec Engineers Limited,5,"-"
KRMAYURVED,ST,KRM Ayurveda Limited,5,"-"
LAKSHYA,ST,Lakshya Powertech Limited,5,"-"
LLOYDS,ST,Lloyds Luxuries Limited,5,"-"
MAGSON,ST,Magson Retail And Distribution Limited,5,"-"
MAKS,SM,Maks Energy Solutions India Limited,5,"-"
MAL,SM,Mangalam Alloys Limited,5,"-"
MANAV,SM,Manav Infra Projects Limited,5,"-"
MANDEEP,SM,Mandeep Auto Industries Limited,5,"-"
MARC,ST,Marc Technocrats Limited,5,"-"
MARINETRAN,SM,Marinetrans India Limited,5,"-"
MASTER,SM,Master Components Limited,5,"-"
MAXVOLT,ST,Maxvolt Energy Industries Limited,5,"-"
MCON,SM,Mcon Rasayan India Limited,5,"-"
MDL,ST,Marvel Decor Limited,5,"-"
MEDIORG,SM,Medicamen Organics Limited,5,"-"
MEGAFLEX,SM,Mega Flex Plastics Limited,5,"-"
MHHL,SM,Mohini Health & Hygiene Limited,5,"-"
MIEL,SM,Manglam Infra & Engineering Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,SM,Mindpool Technologies Limited,5,"-"
MMEL,ST,Moving Media Entertainment Limited,5,"-"
MOBILISE,ST,Mobilise App Lab Limited,5,"-"
MONOPHARMA,SM,Mono Pharmacare Limited,5,"-"
MOS,ST,Mos Utility Limited,5,"-"
MOXSH,ST,Moxsh Overseas Educon Limited,5,"-"
MPEL,ST,Manas Polymers and Energies Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
MRIL,ST,Mahendra Realtors & Infrastructure Limited,5,"-"
MUNISH,ST,Munish Forge Limited,5,"-"
NAMAN,SM,Naman Industries Proxima Limited,5,"-"
NEELAM,SM,Neelam Linens and Garments (India) Limited,5,"-"
NEOCHEM,ST,Neochem Bio Solutions Limited,5,"-"
NEPHROCARE,ST,Nephro Care India Limited,5,"-"
NFPSAMPOOR,SM,NFP Sampoorna Foods Limited,5,"-"
NIKITA,SM,NIKITA GREENTECH RECYCLING LIMITED,5,"-"
NRVANDANA,ST,N R Vandana Tex Industries Limited,5,"-"
OLIL,ST,Oneclick Logistics India Limited,5,"-"
OMFURN,ST,Omfurn India Limited,5,"-"
ONDOOR,ST,On Door Concepts Limited,5,"-"
ONYX,ST,Onyx Biotec Limited,5,"-"
OWAIS,ST,Owais Metal And Mineral Processing Limited,5,"-"
PARAMOUNT,ST,Paramount Dye Tec Limited,5,"-"
PARAMPARA,SM,PARAMPARA DAIRY DELIGHTS LIMITED,5,"-"
PARTH,ST,Parth Electricals & Engineering Limited,5,"-"
PATILAUTOM,ST,Patil Automation Limited,5,"-"
PATTECH,ST,Pattech Fitwell Tube Components Limited,5,"-"
PERFECT,SZ,Perfect Infraengineers Limited,5,"GSM STAGE - 0"
PLADAINFO,SM,Plada Infotech Services Limited,5,"-"
POSITRON,ST,Positron Energy Limited,5,"-"
PPSL,ST,Picturepost Studios Limited,5,"-"
PRAMARA,SM,Pramara Promotions Limited,5,"-"
PRECISION,SM,Precision Metaliks Limited,5,"-"
PRIMECAB,ST,Prime Cable Industries Limited,5,"-"
PROLIFE,SM,Prolife Industries Limited,5,"-"
PSRAJ,ST,P S Raj Steels Limited,5,"-"
PULZ,SM,Pulz Electronics Limited,5,"-"
PURPLEUTED,ST,Purple United Sales Limited,5,"-"
PURVFLEXI,ST,Purv Flexipack Limited,5,"-"
QFIL,SM,Quality Foils (India) Limited,5,"-"
QUADPRO,SM,Quadpro Ites Limited,5,"-"
QUICKTOUCH,SM,Quicktouch Technologies Limited,5,"-"
QVCEL,SM,QVC Exports Limited,5,"-"
RADIOWALLA,ST,Radiowalla Network Limited,5,"-"
RBS,ST,Ramdevbaba Solvent Limited,5,"-"
REFRACTORY,SM,Refractory Shapes Limited,5,"-"
REXPIPES,SM,Rex Pipes And Cables Industries Limited,5,"-"
REXPRO,SM,Rexpro Enterprises Limited,5,"-"
RICHA,ST,Richa Info Systems Limited,5,"-"
RITEZONE,ST,Rite Zone Chemcon India Limited,5,"-"
RNPL,SM,Renol Polychem Limited,5,"-"
ROXHITECH,ST,Rox Hi Tech Limited,5,"-"
SAAKSHI,ST,SAAKSHI MEDTECH AND PANELS LIMITED,5,"-"
SABAR,SM,Sabar Flex India Limited,5,"-"
SAIFL,SM,Sameera Agro And Infra Limited,5,"-"
SAMAY,SM,Samay Project Services Limited,5,"-"
SANGANI,SM,Sangani Hospitals Limited,5,"-"
SAROJA,SM,Saroja Pharma Industries India Limited,5,"-"
SATECH,SM,S A Tech Software India Limited,5,"-"
SATIPOLY,ST,Sati Poly Plast Limited,5,"-"
SATKARTAR,ST,Sat Kartar Life Limited,5,"-"
SEL,ST,Sungarner Energies Limited,5,"-"
SERVICE,SM,Service Care Limited,5,"-"
SHAIVAL,ST,Shaival Reality Limited,5,"-"
SHEEL,ST,Sheel Biotech Limited,5,"-"
SHERA,ST,Shera Energy Limited,5,"-"
SHETHJI,ST,Shreeji Global FMCG Limited,5,"-"
SHREEDHAR,ST,SHREEDHAR SPINNERS LIMITED,5,"-"
SHRIAHIMSA,ST,Shri Ahimsa Naturals Limited,5,"-"
SHRIKANHA,ST,Shri Kanha Stainless Limited,5,"-"
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,5,"-"
SHYAMDHANI,ST,Shyam Dhani Industries Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SIGNORIA,ST,Signoria Creation Limited,5,"-"
SILKFLEX,ST,Silkflex Polymers (India) Limited,5,"-"
SLONE,ST,Slone Infosystems Limited,5,"-"
SMARTEN,ST,Smarten Power Systems Limited,5,"-"
SMVD,SM,SMVD Poly Pack Limited,5,"-"
SNEHAA,ST,Snehaa Organics Limited,5,"-"
SOCL,ST,Sundrex Oil Company Limited,5,"-"
SONAMAC,ST,Sona Machinery Limited,5,"-"
SONUINFRA,ST,Sonu Infratech Limited,5,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,5,"-"
SPEB,ST,Speb Adhesives Limited,5,"-"
SPECTSTM,ST,Spectrum Talent Management Limited,5,"-"
SPPPOLY,SM,SPP Polymer Limited,5,"-"
SPRL,SM,Sp Refractories Limited,5,"-"
SSFL,ST,Srivari Spices And Foods Limited,5,"-"
STUDIOLSD,ST,Studio LSD Limited,5,"-"
SUNLITE,ST,Sunlite Recycling Industries Limited,5,"-"
