Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02072026,1980061622,0003156
Trade Date <02-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,552,BALRAMCHIN,EQ,673383,271230,40.28
20,553,BALUFORGE,EQ,293083,131111,44.74
20,554,BANARBEADS,EQ,585,423,72.31
20,555,BANARISUG,EQ,234,122,52.14
20,556,BANCOINDIA,EQ,158300,72304,45.68
20,557,BANDHANBNK,EQ,3470248,1615132,46.54
20,558,BANG,EQ,83839,44841,53.48
20,559,BANK10ADD,EQ,35355,25122,71.06
20,560,BANKADD,EQ,23860,18028,75.56
20,561,BANKBARODA,EQ,26105222,10593018,40.58
20,562,BANKBEES,EQ,1545926,888801,57.49
20,563,BANKBETA,EQ,71901,19158,26.64
20,564,BANKBETF,EQ,20378,17905,87.86
20,565,BANKETF,EQ,3764,2599,69.05
20,566,BANKIETF,EQ,1860750,1647669,88.55
20,567,BANKINDIA,EQ,14023902,4859805,34.65
20,568,BANKNIFTY1,EQ,67281,32204,47.86
20,569,BANKPSU,EQ,19918,15808,79.37
20,570,BANSALWIRE,EQ,246979,115013,46.57
20,571,BANSWRAS,EQ,22794,12572,55.15
20,572,BARFLEX,SM,8000,8000,100.00
20,573,BASF,EQ,14903,7183,48.20
20,574,BASILIC,SM,27000,18300,67.78
20,575,BATAINDIA,EQ,161976,59925,37.00
20,576,BATLIBOI,EQ,27983,14971,53.50
20,577,BAWEJA,ST,2400,2400,100.00
20,578,BAYERCROP,EQ,19055,10310,54.11
20,579,BBETF0432,EQ,669,514,76.83
20,580,BBL,EQ,21665,12014,55.45
20,581,BBNPNBETF,EQ,1328,931,70.11
20,582,BBNPPGOLD,EQ,3611,1570,43.48
20,583,BBOX,EQ,533873,283869,53.17
20,584,BBTC,EQ,34436,16765,48.68
20,585,BBTCL,EQ,6973,5614,80.51
20,586,BCG,EQ,5631624,2965009,52.65
20,587,BCLIND,EQ,572115,318495,55.67
20,588,BCONCEPTS,EQ,11845,5333,45.02
20,589,BCPL,EQ,11732,7624,64.98
20,590,BDL,EQ,634883,194507,30.64
20,591,BEACON,ST,21000,19000,90.48
20,592,BEARDSELL,EQ,21059,12830,60.92
20,593,BECTORFOOD,EQ,666340,390630,58.62
20,594,BEDMUTHA,EQ,281,268,95.37
20,595,BEEKAY,EQ,1559,923,59.20
20,596,BEL,EQ,10736747,6510494,60.64
20,597,BELLACASA,EQ,10518,5453,51.84
20,598,BELRISE,EQ,6306769,3025440,47.97
20,599,BEML,EQ,408539,155737,38.12
20,600,BENGALASM,EQ,166,107,64.46
20,601,BEPL,EQ,716761,346974,48.41
20,602,BERGEPAINT,EQ,358693,157280,43.85
20,603,BESTAGRO,EQ,468574,245419,52.38
20,604,BETA,EQ,8470,4201,49.60
20,605,BEWLTD,SM,132500,94000,70.94
20,606,BFINVEST,EQ,36869,23628,64.09
20,607,BFSI,EQ,838373,460117,54.88
20,608,BFUTILITIE,EQ,84697,60732,71.71
20,609,BHADORA,SM,34800,27600,79.31
20,610,BHAGCHEM,EQ,52357,30336,57.94
20,611,BHARATCOAL,EQ,20019783,5792211,28.93
20,612,BHARATFORG,EQ,773217,399490,51.67
20,613,BHARATGEAR,EQ,211451,93115,44.04
20,614,BHARATRAS,EQ,13788,5910,42.86
20,615,BHARATSE,EQ,19925583,1249314,6.27
20,616,BHARATWIRE,EQ,328495,143134,43.57
20,617,BHARTIARTL,EQ,5282404,2810445,53.20
20,618,BHARTIHEXA,EQ,224204,126218,56.30
20,619,BHEL,EQ,11966341,4309312,36.01
20,620,BI,EQ,3065,2532,82.61
20,621,BIGBLOC,EQ,89018,43679,49.07
20,622,BIKAJI,EQ,143563,109827,76.50
20,623,BIKEWO,ST,20000,20000,100.00
20,624,BIL,EQ,8542,6495,76.04
20,625,BIMETAL,EQ,365,350,95.89
20,626,BIOCON,EQ,2609668,1629729,62.45
20,627,BIOFILCHEM,EQ,12374,5957,48.14
20,628,BIOPOL,SM,76800,68400,89.06
20,629,BIRDYS,ST,1200,1200,100.00
20,630,BIRET,RR,491822,386508,78.59
20,631,BIRLACORPN,EQ,37410,22340,59.72
20,632,BIRLAMONEY,EQ,48190,26700,55.41
20,633,BIRLANU,EQ,5353,2893,54.04
20,634,BIRLAPREC,EQ,23415,11341,48.43
20,635,BLACKBUCK,EQ,303504,162117,53.42
20,636,BLAL,EQ,11752,6226,52.98
20,637,BLBLIMITED,EQ,163287,111373,68.21
20,638,BLIL,EQ,34440,22740,66.03
20,639,BLISSGVS,EQ,393278,211114,53.68
20,640,BLKASHYAP,EQ,197461,131066,66.38
20,641,BLS,EQ,1312028,510312,38.89
20,642,BLSE,EQ,985265,391452,39.73
20,643,BLUEDART,EQ,5584,3179,56.93
20,644,BLUEJET,EQ,1218257,477299,39.18
20,645,BLUEPEBBLE,SM,1600,1200,75.00
20,646,BLUESTARCO,EQ,269798,142665,52.88
20,647,BLUESTONE,EQ,377408,199654,52.90
20,648,BLUEWATER,ST,9000,9000,100.00
20,649,BLUSPRING,EQ,2210630,773238,34.98
20,650,BMETRICS,SM,800,800,100.00
20,651,BMLL,SM,220000,109000,49.55
20,652,BMWVENTLTD,EQ,41217,26962,65.41
20,653,BNALTD,EQ,198,195,98.48
20,654,BOHRAIND,EQ,59523,40605,68.22
20,655,BOMDYEING,EQ,424342,197587,46.56
20,656,BONLON,EQ,2488,1850,74.36
20,657,BORANA,EQ,89640,34428,38.41
20,658,BOROLTD,EQ,204108,84086,41.20
20,659,BORORENEW,EQ,421561,172759,40.98
20,660,BOROSCI,EQ,71127,41348,58.13
20,661,BOSCH-HCIL,EQ,16720,11888,71.10
20,662,BOSCHLTD,EQ,43251,18083,41.81
20,663,BOSS,SM,2000,2000,100.00
20,664,BPCL,EQ,7323630,2998106,40.94
20,665,BPL,EQ,39093,18370,46.99
20,666,BRANDMAN,ST,40800,36000,88.24
20,667,BRIGADE,EQ,416270,218185,52.41
20,668,BRIGHOTEL,EQ,78879,47149,59.77
20,669,BRITANNIA,EQ,374142,211863,56.63
20,670,BRNL,EQ,32600,25541,78.35
20,671,BSE,EQ,3425707,1449742,42.32
20,672,BSE500IETF,EQ,103001,56420,54.78
20,673,BSL,EQ,6515,3710,56.95
20,674,BSLGOLDETF,EQ,516839,132265,25.59
20,675,BSLNIFTY,EQ,855493,570659,66.71
20,676,BSLSENETFG,EQ,2996,2570,85.78
20,677,BSOFT,EQ,7653440,3253223,42.51
20,678,BTML,EQ,49227,37834,76.86
20,679,BTTL,EQ,18949,11501,60.69
20,680,BUILDPRO,EQ,19554,11282,57.70
20,681,BULKCORP,SM,2400,2400,100.00
20,682,BUTTERFLY,EQ,181037,88165,48.70
20,683,BVCL,EQ,20743,17617,84.93
20,684,C2C,SM,81600,56850,69.67
20,685,CAMLINFINE,EQ,1164208,498833,42.85
20,686,CAMPUS,EQ,246202,139201,56.54
20,687,CAMS,EQ,1626797,756965,46.53
20,688,CANARYS,SM,104000,92000,88.46
20,689,CANBK,EQ,42931827,22334963,52.02
20,690,CANFINHOME,EQ,281595,207101,73.55
20,691,CANHLIFE,EQ,1673641,1114806,66.61
20,692,CANTABIL,EQ,3547270,1450870,40.90
20,693,CAPACITE,EQ,1280473,575383,44.94
20,694,CAPILLARY,EQ,14703,7275,49.48
20,695,CAPINVIT,IV,1581735,1470098,92.94
20,696,CAPITALSFB,EQ,119063,34337,28.84
20,697,CAPLIPOINT,EQ,74476,32205,43.24
20,698,CARBORUNIV,EQ,103565,43882,42.37
20,699,CARERATING,EQ,16322,9292,56.93
20,700,CARRARO,EQ,348719,227444,65.22
20,701,CARTRADE,EQ,238386,72209,30.29
20,702,CARYSIL,EQ,73186,37877,51.75
20,703,CASHIETF,EQ,133236,115183,86.45
20,704,CASTROLIND,EQ,946305,596848,63.07
20,705,CBAZAAR,SM,88000,88000,100.00
20,706,CCAVENUE,EQ,67922468,15985892,23.54
20,707,CCCL,EQ,233634,147333,63.06
20,708,CCHHL,EQ,32082,18336,57.15
20,709,CCL,EQ,101388,50164,49.48
20,710,CDSL,EQ,1802724,790027,43.82
20,711,CEATLTD,EQ,514758,188325,36.59
20,712,CEDAAR,ST,5000,5000,100.00
20,713,CEIGALL,EQ,346961,85085,24.52
20,714,CEINSYS,EQ,60267,36325,60.27
20,715,CELEBRITY,EQ,56967,47004,82.51
20,716,CELLECOR,ST,57000,45000,78.95
20,717,CELLO,EQ,255803,139406,54.50
20,718,CELLPOINT,SM,6000,4800,80.00
20,719,CEMPRO,EQ,1253308,729311,58.19
20,720,CENTENKA,EQ,16122,10848,67.29
20,721,CENTEXT,EQ,46367,29160,62.89
20,722,CENTRALBK,EQ,7932979,3895554,49.11
20,723,CENTRUM,EQ,8988029,1377441,15.33
20,724,CENTUM,EQ,24272,12145,50.04
20,725,CENTURYPLY,EQ,20021,11074,55.31
20,726,CERA,EQ,12435,6987,56.19
20,727,CESC,EQ,888684,441766,49.71
20,728,CEWATER,EQ,101719,51235,50.37
20,729,CGCL,EQ,1900950,665182,34.99
20,730,CGPOWER,EQ,5251907,2725214,51.89
20,731,CGRAPHICS,SM,68000,60000,88.24
20,732,CHALET,EQ,205795,137030,66.59
20,733,CHAMBLFERT,EQ,357216,173871,48.67
20,734,CHAMUNDA,SM,9000,6000,66.67
20,735,CHANDAN,SM,146400,82400,56.28
20,736,CHEMICAL,EQ,247588,167534,67.67
20,737,CHEMPLASTS,EQ,2012025,1545202,76.80
20,738,CHENNPETRO,EQ,373448,107598,28.81
20,739,CHETANA,ST,3200,3200,100.00
20,740,CHEVIOT,EQ,820,567,69.15
20,741,CHOICEGOLD,EQ,1771,911,51.44
20,742,CHOICEIN,EQ,1365629,374201,27.40
20,743,CHOLAFIN,EQ,1239025,756164,61.03
20,744,CHOLAHLDNG,EQ,88897,48943,55.06
20,745,CIEINDIA,EQ,281962,152878,54.22
20,746,CIFL,EQ,142845,97023,67.92
20,747,CINELINE,EQ,4444,3111,70.00
20,748,CINEVISTA,EQ,10870,8453,77.76
20,749,CIPLA,EQ,731416,424679,58.06
20,750,CITIUSINVT,IV,180073,168266,93.44
20,751,CKKRETAIL,SM,19200,12000,62.50
20,752,CLASSICEIL,ST,35200,28800,81.82
20,753,CLAYCRAFT,ST,134400,116400,86.61
20,754,CLEAN,EQ,130978,61690,47.10
20,755,CLEANMAX,EQ,177032,53394,30.16
20,756,CLSEL,EQ,189212,50228,26.55
20,757,CLSL,SM,506000,498000,98.42
20,758,CMNL,SM,18000,15000,83.33
20,759,CMPDI,EQ,6342537,2354617,37.12
20,760,CMRGREEN,EQ,1353639,477978,35.31
20,761,CMSINFO,EQ,968104,706413,72.97
20,762,CNL,EQ,8023,5198,64.79
20,763,COALINDIA,EQ,4941315,2292981,46.40
20,764,COASTCORP,EQ,137610,89297,64.89
20,765,COCHINSHIP,EQ,1094896,290468,26.53
20,766,COCKERILL,EQ,6291,2589,41.15
20,767,COFORGE,EQ,5761491,2582644,44.83
20,768,COHANCE,EQ,299262,140326,46.89
20,769,COLPAL,EQ,223137,101580,45.52
20,770,COMFINTE,EQ,109756,78291,71.33
20,771,COMMITTED,ST,4800,4800,100.00
20,772,COMMOIETF,EQ,34776,26441,76.03
20,773,COMPUSOFT,EQ,16710,10563,63.21
20,774,COMSYN,EQ,4682350,493722,10.54
20,775,CONCOR,EQ,2060994,1412436,68.53
20,776,CONCORDBIO,EQ,63334,29013,45.81
20,777,CONFIPET,EQ,4071416,1924236,47.26
20,778,CONNPLEX,SM,70400,65600,93.18
20,779,CONS,EQ,63471,53748,84.68
20,780,CONSOFINVT,EQ,6633,5216,78.64
20,781,CONSUMBEES,EQ,101224,68540,67.71
20,782,CONSUMER,EQ,113980,77147,67.68
20,783,CONSUMIETF,EQ,42636,31090,72.92
20,784,CONTI,SM,3333,3333,100.00
20,785,CONTROLPR,EQ,3602983,222138,6.17
20,786,COOLCAPS,ST,25000,25000,100.00
20,787,CORALFINAC,EQ,9975,6197,62.13
20,788,CORDELIA,EQ,1484942,428003,28.82
20,789,COROMANDEL,EQ,349361,201879,57.79
20,790,CORONA,EQ,59063,27321,46.26
20,791,COSMOFIRST,EQ,90907,34856,38.34
20,792,COUNCODOS,EQ,38344,31095,81.09
20,793,CPEDU,EQ,14534,9478,65.21
20,794,CPPLUS,EQ,358417,194190,54.18
20,795,CPS,SM,750,750,100.00
20,796,CPSEETF,EQ,1038699,624312,60.11
20,797,CRAFTSMAN,EQ,19434,8327,42.85
20,798,CRAMC,EQ,394650,243497,61.70
20,799,CRAYONS,SM,3000,2000,66.67
20,800,CREATIVEYE,EQ,7479,6157,82.32
20,801,CREDITACC,EQ,360248,176714,49.05
20,802,CREST,EQ,1929,1356,70.30
20,803,CRISIL,EQ,25941,13180,50.81
20,804,CRIZAC,EQ,263503,154799,58.75
20,805,CROMPTON,EQ,2853488,1586409,55.60
20,806,CROWN,EQ,17615,14485,82.23
20,807,CSBBANK,EQ,713358,423476,59.36
20,808,CSLFINANCE,EQ,29660,17575,59.25
20,809,CSSL,SM,3000,2000,66.67
20,810,CTE,EQ,7114,5085,71.48
20,811,CUB,EQ,4341794,2818202,64.91
20,812,CUBEXTUB,EQ,59088,34679,58.69
20,813,CUDML,ST,22000,21000,95.45
20,814,CUMMINSIND,EQ,325685,166732,51.19
20,815,CUPID,EQ,19870325,6566072,33.04
20,816,CURAA,EQ,424,417,98.35
20,817,CURIS,SM,1000,1000,100.00
20,818,CYIENT,EQ,138199,63821,46.18
20,819,CYIENTDLM,EQ,195085,87258,44.73
20,820,DABUR,EQ,3035247,1507331,49.66
20,821,DALBHARAT,EQ,383324,230759,60.20
20,822,DALMIASUG,EQ,90803,45330,49.92
20,823,DAMCAPITAL,EQ,255400,122251,47.87
20,824,DAMODARIND,EQ,12687,10993,86.65
20,825,DANGEE,EQ,69156,56174,81.23
20,826,DANISH,SM,26850,21000,78.21
20,827,DATAMATICS,EQ,350061,127240,36.35
20,828,DATAPATTNS,EQ,856125,204497,23.89
20,829,DAVANGERE,EQ,5643499,2451611,43.44
20,830,DBCORP,EQ,96852,47829,49.38
20,831,DBL,EQ,84010,39741,47.31
20,832,DBSTOCKBRO,EQ,154637,53637,34.69
20,833,DCAL,EQ,1006284,348262,34.61
20,834,DCBBANK,EQ,2605717,1269251,48.71
20,835,DCCL,SM,16000,16000,100.00
20,836,DCG,SM,88800,80400,90.54
20,837,DCMSHRIRAM,EQ,29203,15065,51.59
20,838,DCMSRIND,EQ,221124,156654,70.84
20,839,DCW,EQ,740932,308126,41.59
20,840,DCXINDIA,EQ,873379,309050,35.39
20,841,DDEVPLSTIK,EQ,219745,116988,53.24
20,842,DECCANCE,EQ,26864,17023,63.37
20,843,DECCANTRAN,SM,14400,12000,83.33
20,844,DECNGOLD,EQ,2574351,1231167,47.82
20,845,DEEM,ST,1000,1000,100.00
20,846,DEEPAKFERT,EQ,340166,159744,46.96
20,847,DEEPAKNTR,EQ,166533,80749,48.49
20,848,DEEPINDS,EQ,140075,84323,60.20
20,849,DEFENCE,EQ,239388,164851,68.86
20,850,DELAPLEX,SM,8400,6000,71.43
20,851,DELHIVERY,EQ,12862727,6157920,47.87
20,852,DELPHIFX,EQ,639355,597319,93.43
20,853,DELTACORP,EQ,24523989,2933257,11.96
20,854,DELTAMAGNT,EQ,6173,4351,70.48
20,855,DELTIC,ST,39000,26000,66.67
20,856,DEN,EQ,718452,338775,47.15
20,857,DENEERS,SM,24600,19200,78.05
20,858,DENORA,EQ,10179,6210,61.01
20,859,DENTA,EQ,236511,90858,38.42
20,860,DENTALKART,SM,12250,8500,69.39
20,861,DEVIT,EQ,66003,34933,52.93
20,862,DEVX,EQ,69336,55916,80.64
20,863,DEVYANI,EQ,1300554,769562,59.17
20,864,DGCONTENT,EQ,22422,16801,74.93
20,865,DHAMPURSUG,EQ,124950,59366,47.51
20,866,DHANBANK,EQ,6744639,1232369,18.27
20,867,DHANLAXMI,SM,170000,136000,80.00
20,868,DHANSA,ST,22000,22000,100.00
20,869,DHANUKA,EQ,38809,22993,59.25
20,870,DHARARAIL,SM,22000,19000,86.36
20,871,DHARIWAL,SM,69000,63000,91.30
20,872,DHARMAJ,EQ,31035,19672,63.39
20,873,DHTL,SM,2400,1600,66.67
20,874,DHUNINV,EQ,299,246,82.27
20,875,DIACABS,EQ,2429129,867118,35.70
20,876,DIAMINESQ,EQ,45348,33704,74.32
20,877,DIAMONDYD,EQ,156709,59357,37.88
20,878,DICIND,EQ,5993,4076,68.01
20,879,DIFFNKG,EQ,126285,50426,39.93
20,880,DIGIDRIVE,EQ,4359,3021,69.30
20,881,DIGIKORE,SM,73200,56800,77.60
20,882,DIGITIDE,EQ,261834,109172,41.70
20,883,DIGJAMLMTD,EQ,14889,10695,71.83
20,884,DIRL,SM,24000,18000,75.00
20,885,DISAQ,EQ,916,66,7.21
20,886,DIVGIITTS,EQ,228763,65897,28.81
20,887,DIVIDEND,EQ,5659,5000,88.35
20,888,DIVINEHIRA,ST,10800,9600,88.89
20,889,DIVISLAB,EQ,344354,223372,64.87
20,890,DIVOPPBEES,EQ,212209,166132,78.29
20,891,DIVYADHAN,ST,138000,108000,78.26
20,892,DIXON,EQ,549083,195377,35.58
20,893,DJML,EQ,437464,90978,20.80
20,894,DLF,EQ,5464836,2624504,48.03
20,895,DLINKINDIA,EQ,189452,103206,54.48
20,896,DMART,EQ,1254320,654920,52.21
20,897,DMCC,EQ,26427,13297,50.32
20,898,DNAMEDIA,EQ,19290,16622,86.17
20,899,DODLA,EQ,13377,8344,62.38
20,900,DOLATALGO,EQ,115356,69376,60.14
20,901,DOLLAR,EQ,274428,165015,60.13
20,902,DOLLEX,SM,12000,8000,66.67
20,903,DOLPHIN,EQ,20759,3309,15.94
20,904,DOMS,EQ,106681,59342,55.63
20,905,DONEAR,EQ,21520,11901,55.30
20,906,DPABHUSHAN,EQ,15605,9581,61.40
20,907,DPEL,SM,1113500,874000,78.49
20,908,DRAGARWQ,EQ,605,321,53.06
20,909,DRCSYSTEMS,EQ,44135,34280,77.67
20,910,DREAMFOLKS,EQ,54493,27948,51.29
20,911,DREDGECORP,EQ,151382,50255,33.20
20,912,DRONE,ST,13000,12500,96.15
20,913,DRREDDY,EQ,808598,331575,41.01
20,914,DSSL,EQ,47779,24171,50.59
20,915,DTIL,EQ,3849,2871,74.59
20,916,DUCOL,SM,4000,4000,100.00
20,917,DUGLOBAL,ST,102500,97500,95.12
20,918,DURLAX,ST,140000,130000,92.86
20,919,DVL,EQ,7332,4370,59.60
20,920,DWARKESH,EQ,563488,243780,43.26
20,921,DYCL,EQ,178504,91508,51.26
20,922,DYNAMATECH,EQ,7330,2074,28.29
20,923,DYNAMIC,ST,7000,6000,85.71
20,924,DYNPRO,EQ,7597,4867,64.06
20,925,E2E,EQ,1408128,669818,47.57
20,926,E2ERAIL,ST,16000,13600,85.00
20,927,EASEMYTRIP,EQ,13446105,5486806,40.81
20,928,EBANKNIFTY,EQ,823,715,86.88
20,929,EBBETF0430,EQ,6921,5500,79.47
20,930,EBBETF0431,EQ,2033,1534,75.45
20,931,EBBETF0433,EQ,4269,2697,63.18
20,932,EBGNG,EQ,1942332,834758,42.98
20,933,ECAPINSURE,EQ,30882,23793,77.04
20,934,ECLERX,EQ,911226,258437,28.36
20,935,ECOLINE,ST,60000,59000,98.33
20,936,EDELWEISS,EQ,1719808,781549,45.44
20,937,EEPL,SM,527000,237000,44.97
20,938,EFACTOR,SM,7600,3600,47.37
20,939,EFCIL,EQ,431787,233001,53.96
20,940,EFFWA,ST,14400,13200,91.67
20,941,EFORCE,SM,2400,1200,50.00
20,942,EGOLD,EQ,37234,24252,65.13
20,943,EICHERMOT,EQ,828736,551276,66.52
20,944,EIDPARRY,EQ,424005,190897,45.02
20,945,EIEL,EQ,2756248,903880,32.79
20,946,EIHAHOTELS,EQ,9821,5191,52.86
20,947,EIHOTEL,EQ,104023,62708,60.28
20,948,EIMCOELECO,EQ,22564,10545,46.73
20,949,EKC,EQ,195653,82547,42.19
20,950,ELANTAS,EQ,840,221,26.31
20,951,ELCIDIN,EQ,8,5,62.50
20,952,ELDEHSG,EQ,313,279,89.14
20,953,ELECON,EQ,257719,119953,46.54
20,954,ELECTCAST,EQ,1268845,841107,66.29
20,955,ELECTHERM,EQ,14827,5557,37.48
20,956,ELGIEQUIP,EQ,334032,216718,64.88
20,957,ELGIRUBCO,EQ,26408,19701,74.60
20,958,ELGNZ,SM,144000,113000,78.47
20,959,ELIN,EQ,199159,114664,57.57
20,960,ELIQUID,EQ,41371,24579,59.41
20,961,ELITECON,EQ,921217,366594,39.79
20,962,ELLEN,EQ,335209,255036,76.08
20,963,ELM250,EQ,24738,18992,76.77
20,964,ELPROINTL,EQ,43080,40016,92.89
20,965,EMAMILTD,EQ,666287,405855,60.91
20,966,EMAMIPAP,EQ,46753,25377,54.28
20,967,EMAPARTNER,SM,10000,7000,70.00
20,968,EMBASSY,RR,656087,583950,89.00
20,969,EMBDL,EQ,1395756,634934,45.49
20,970,EMCURE,EQ,183639,87704,47.76
20,971,EMIL,EQ,6397658,2256213,35.27
20,972,EMKAY,EQ,110186,77802,70.61
20,973,EMKAYTOOLS,SM,1500,600,40.00
20,974,EMMBI,EQ,14763,8626,58.43
20,975,EMMIL,SM,10000,7750,77.50
20,976,EMMVEE,EQ,4779136,1748294,36.58
20,977,EMSLIMITED,EQ,572714,170521,29.77
20,978,EMUDHRA,EQ,169744,138424,81.55
20,979,EMULTIMQ,EQ,12995,11578,89.10
20,980,ENCOMPAS,SM,2000,1600,80.00
20,981,ENDURANCE,EQ,101892,53142,52.16
20,982,ENERGY,EQ,4531549,2960154,65.32
20,983,ENERGYDEV,EQ,77551,48348,62.34
20,984,ENEXT50,EQ,27884,27884,100.00
20,985,ENGINERSIN,EQ,1916754,945621,49.33
20,986,ENIFTY,EQ,10552,7227,68.49
20,987,ENIL,EQ,233047,221815,95.18
20,988,ENRIN,EQ,542373,234287,43.20
20,989,ENSER,ST,5000,5000,100.00
20,990,ENTERO,EQ,34259,16290,47.55
20,991,ENVIRO,SM,21000,18000,85.71
20,992,EPACK,EQ,469923,205034,43.63
20,993,EPACKPEB,EQ,1158799,408888,35.29
20,994,EPIGRAL,EQ,70209,46981,66.92
20,995,EPL,EQ,564031,248919,44.13
20,996,EPWINDIA,ST,2400,2400,100.00
20,997,EQUAL200,EQ,48825,42409,86.86
20,998,EQUAL50,EQ,470,381,81.06
20,999,EQUAL50ADD,EQ,10081,8632,85.63
20,1000,EQUITASBNK,EQ,2112599,942842,44.63
20,1001,ERIS,EQ,32955,21065,63.92
20,1002,ESABINDIA,EQ,4950,2815,56.87
20,1003,ESAFSFB,EQ,2595535,759149,29.25
20,1004,ESCONET,ST,27200,26800,98.53
20,1005,ESCORTS,EQ,101356,58377,57.60
20,1006,ESENSEX,EQ,739,722,97.70
20,1007,ESFL,ST,3600,2880,80.00
20,1008,ESG,EQ,20263,20164,99.51
20,1009,ESILVER,EQ,38901,10868,27.94
20,1010,ESPRIT,SM,6400,3200,50.00
20,1011,ESSARSHPNG,EQ,87024,57849,66.47
20,1012,ESTER,EQ,53924,32011,59.36
20,1013,ETERNAL,EQ,41301386,21836961,52.87
20,1014,ETHOSLTD,EQ,8596,5065,58.92
20,1015,ETL,SM,150,150,100.00
20,1016,ETML,SM,6000,6000,100.00
20,1017,EUREKAFORB,EQ,212403,116877,55.03
20,1018,EUROBOND,EQ,4797,3613,75.32
20,1019,EUROPRATIK,EQ,277914,135151,48.63
20,1020,EVEREADY,EQ,162635,70387,43.28
20,1021,EVIETF,EQ,205470,112264,54.64
20,1022,EVINDIA,EQ,251172,153960,61.30
20,1023,EXCELINDUS,EQ,4827,3367,69.75
20,1024,EXCELLENT,ST,3200,3200,100.00
20,1025,EXCELSOFT,EQ,15377907,1036833,6.74
20,1026,EXICOM,EQ,4238600,915938,21.61
20,1027,EXIDEIND,EQ,21062813,5059343,24.02
20,1028,EXIMROUTES,SM,4000,4000,100.00
20,1029,EXPLEOSOL,EQ,31240,17750,56.82
20,1030,EXXARO,EQ,153680,114859,74.74
20,1031,FABTECH,EQ,288767,152460,52.80
20,1032,FACT,EQ,145865,46271,31.72
20,1033,FAIRCHEMOR,EQ,67230,30777,45.78
20,1034,FALCONTECH,SM,6000,6000,100.00
20,1035,FAZE3Q,EQ,27161,16649,61.30
20,1036,FCL,EQ,13828712,5262617,38.06
20,1037,FDC,EQ,237110,125583,52.96
20,1038,FEDDERSHOL,EQ,12817460,1454381,11.35
20,1039,FEDERALBNK,EQ,7433230,4760553,64.04
20,1040,FEDFINA,EQ,955077,435593,45.61
20,1041,FELIX,SM,92500,47000,50.81
20,1042,FERMENTA,EQ,87258,13681,15.68
20,1043,FIBERWEB,EQ,31648,17361,54.86
20,1044,FIDEL,SM,4000,2000,50.00
20,1045,FIEMIND,EQ,31520,19152,60.76
20,1046,FILATEX,EQ,660217,404243,61.23
20,1047,FINBUD,SM,43000,41000,95.35
20,1048,FINCABLES,EQ,196118,82310,41.97
20,1049,FINEORG,EQ,12139,7169,59.06
20,1050,FINIETF,EQ,740428,526989,71.17
20,1051,FINKURVE,EQ,4772,2990,62.66
20,1052,FINOPB,EQ,455642,207447,45.53
20,1053,FINPIPE,EQ,295338,132949,45.02
20,1054,FIRSTCRY,EQ,4230840,2728185,64.48
20,1055,FISCHER,EQ,2512085,446477,17.77
20,1056,FIVESTAR,EQ,2821789,868661,30.78
20,1057,FLAIR,EQ,148324,55144,37.18
20,1058,FLEXIADD,EQ,99241,59377,59.83
20,1059,FLUOROCHEM,EQ,123983,63619,51.31
20,1060,FLYSBS,SM,31600,21600,68.35
20,1061,FMCGADD,EQ,5195,4621,88.95
20,1062,FMCGIETF,EQ,1192898,629155,52.74
20,1063,FMGOETZE,EQ,24331,10846,44.58
20,1064,FOCE,SM,1920,0,0.00
20,1065,FONEBOX,SM,1000,1000,100.00
20,1066,FOODSIN,EQ,204213,122854,60.16
20,1067,FORCAS,SM,9600,8000,83.33
20,1068,FORCEMOT,EQ,373886,81507,21.80
20,1069,FORGEAUTO,SM,1200,1200,100.00
20,1070,FORTIS,EQ,1255791,603478,48.06
20,1071,FOSECOIND,EQ,1520,985,64.80
20,1072,FRACTAL,EQ,595665,298906,50.18
20,1073,FRESHARA,SM,87600,50400,57.53
20,1074,FROG,ST,40400,31600,78.22
20,1075,FRONTSP,EQ,34866,16321,46.81
20,1076,FSL,EQ,2930870,462717,15.79
20,1077,FUSION,EQ,2510405,883010,35.17
20,1078,FWSTC,SM,9600,9600,100.00
20,1079,GABRIEL,EQ,218371,100224,45.90
20,1080,GAEL,EQ,593223,319054,53.78
20,1081,GAIL,EQ,3376923,1680754,49.77
20,1082,GAJANAND,SM,3000,3000,100.00
20,1083,GALAPREC,EQ,120659,46841,38.82
20,1084,GALAXYSURF,EQ,5612,2972,52.96
20,1085,GALLANTT,EQ,32129,19261,59.95
20,1086,GANDHAR,EQ,1011803,437163,43.21
20,1087,GANDHITUBE,EQ,7056,6030,85.46
20,1088,GANECOS,EQ,75041,41931,55.88
20,1089,GANESHBE,EQ,217710,148300,68.12
20,1090,GANESHCP,EQ,32666,18683,57.19
20,1091,GANESHHOU,EQ,41835,25843,61.77
20,1092,GANESHIN,ST,46400,45600,98.28
20,1093,GANGABATH,SM,12000,6000,50.00
20,1094,GANGAFORGE,EQ,387161,336209,86.84
20,1095,GANGESSECU,EQ,90,90,100.00
20,1096,GARFIBRES,EQ,41814,22768,54.45
20,1097,GARUDA,EQ,232369,102415,44.07
20,1098,GATECH,EQ,5747330,2234660,38.88
20,1099,GATECHDVR,EQ,593143,297230,50.11
