SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
GOKUL-RE,BL,INE314T20017,GOKUL AGRO RESOURCES LTD,RE                                                                                                  
NETF,BL,INF277K015R5,TATAAML - NETF,EF                                                                                                                
LICNMID100,EQ,INF767K01RN1,LICNAMC - LICNMID100,EF                                                                                                    
COOLCAP-RE,ST,INE0HS020010,COOL CAPS INDUSTRIES LTD,RE                                                                                                
IDFNIFTYET,EQ,INF194KA1U07,BANDHANAMC - IDFNIFTYET,EF                                                                                                 
GAL-RE,BL,INE482J20013,GYSCOAL ALLOYS LTD,RE                                                                                                          
SHRERA-RE,BE,INE879A20019,SHREE RAMA MULTI-TECH LTD,RE                                                                                                
JYOTI-RE,BL,INE197A20016,JYOTI STRUCTURES LTD,RE                                                                                                      
INDO-RE,BL,INE227G20018,INDOWIND ENERGY LIMITED,RE                                                                                                    
SBIETFPB,BL,INF200KA1S22,SBIAMC - SBIETFPB,EF                                                                                                         
HCG-RE,BE,INE075I20017,HEALTHCARE GLOBAL LTD,RE                                                                                                       
DIVIDEND,EQ,INF769K01PY8,MIRAEAMC - DIVIDEND,EF                                                                                                       
GROWWNIFTY,EQ,INF666M01LL8,GROWWAMC - GROWWNIFTY,EF                                                                                                   
MIDCAPADD,EQ,INF740KA1WW5,DSPAMC - MIDCAPADD,EF                                                                                                       
ARVINDF-RE,BL,INE955V20013,ARVIND FASHIONS RE,RE                                                                                                      
KEEPLN-RE,BL,INE055C20012,DSJ KEEP LEARNING LTD,RE                                                                                                    
ICICIM150,BL,INF109KC1G82,ICICIPRAMC - ICICIM150,EF                                                                                                   
CONSUMIETF,BL,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
AONETOTAL,BL,INF1J2R01015,AONEAMC - AONETOTAL,EF                                                                                                      
HDFCNIFIT,EQ,INF179KC1IA8,HDFCAMC - HDFCNIFIT,EF                                                                                                      
NANDANI-RE,BE,INE696V20013,NANDANI CREATION LTD,RE                                                                                                    
HERIT-RE,BL,INE978A20019,HERITAGE FOODS LTD,RE                                                                                                        
AXISHCETF,EQ,INF846K01Z12,AXISAMC - AXISHCETF,EF                                                                                                      
HDFCMID150,BL,INF179KC1HT0,HDFCAMC - HDFCMID150,EF                                                                                                    
SGIL-RE,BE,INE00QT20015,SYNERGY GREEN IND. LTD,RE                                                                                                     
SGIL-RE,BL,INE00QT20015,SYNERGY GREEN IND. LTD,RE                                                                                                     
BTML-RE1,BE,INE0EEJ20023,BODHI TREE MULTIMEDIA LTD,RE                                                                                                 
EC5RG,MF,INF903JA1EL2,SUNDARMAMC - EC5RG,EF                                                                                                           
KILITC-RE,BL,INE729D20010,KILITCH DRUGS (INDIA) LTD,RE                                                                                                
MOSMALL250,EQ,INF247L01CH6,MOTILALAMC - MOSMALL250,EF                                                                                                 
SNXT50BETA,BL,INF789F1AUU3,UTIAMC-SNXT50BETA,EF                                                                                                       
TEMBO-RE,BE,INE869Y20010,TEMBO GLOBAL IND LTD,RE                                                                                                      
TEMBO-RE,BL,INE869Y20010,TEMBO GLOBAL IND LTD,RE                                                                                                      
544652,MF,INF277K30039,Tata Mutual Fund,EF                                                                                                            
544650,MF,INF277K30054,Tata Mutual Fund,EF                                                                                                            
NECLTD-RE,BL,INE553C20016,NORTH EAST CARRY CORP LTD,RE                                                                                                
CALSOFT-RE,BE,INE526B20014,CALIFORNIA SOFT LTD,RE                                                                                                     
HILTON-RE,BL,INE788H20017,HILTON METAL FORGING LIMI,RE                                                                                                
IIFL-RE,BL,INE530B20016,IIFL FINANCE LIMITED,RE                                                                                                       
MOQUALITY,EQ,INF247L01BH8,MOTILALAMC - MOQUALITY,EF                                                                                                   
GROWWMOM50,EQ,INF666M01KJ4,GROWWAMC - GROWWMOM50,EF                                                                                                   
AXISNIFTY,EQ,INF846K01W98,AXISAMC - AXISNIFTY,EF                                                                                                      
MODEFENCE,EQ,INF247L01DJ0,MOTILALAMC - MODEFENCE,EF                                                                                                   
HDFCBANK,W3,INE040A13013,HDFC BANK LIMITED,RE                                                                                                         
AXISCETF,EQ,INF846K016C7,AXISAMC - AXISCETF,EF                                                                                                        
TECH,BL,INF209KB11D8,BIRLASLAMC - TECH,EF                                                                                                             
ROML-RE,BL,INE294G20018,RAJ OIL MILLS LIMITED,RE                                                                                                      
TNIDETF,EQ,INF277KA1364,TATAAML - TNIDETF,EF                                                                                                          
ASIAN-RE1,BE,INE022I20027,ASIAN GRANITO INDIA LIMIT,RE                                                                                                
ITBEES,BL,INF204KB15V2,NIP IND ETF IT,EF                                                                                                              
NV20BEES,EQ,INF204KB18I3,NIP IND ETF ETF NV20,EF                                                                                                      
LOWVOL,BL,INF769K01JU9,MIRAEAMC - MANV30F,EF                                                                                                          
MAKEINDIA,EQ,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                      
QUALITY30,BL,INF174KA1WT6,KOTAKMAMC - QUALITY30,EF                                                                                                    
AXISTECETF,EQ,INF846K01Y96,AXISAMC - AXISTECETF,EF                                                                                                    
AXISTECETF,BL,INF846K01Y96,AXISAMC - AXISTECETF,EF                                                                                                    
532985,EQ,INF174KA1JD7,KOTAK MAHINDRA MUTUAL FUND,EF                                                                                                  
542747,BL,INF204KB15D0,NIPPON INDIA ETF SENSEX NEXT 5,EF                                                                                              
COAST-RE,BE,INE377E20016,COASTAL CORP LIMITED-RE,RE                                                                                                   
HDFCGROWTH,EQ,INF179KC1DJ0,HDFCAMC - HDFCGROWTH,EF                                                                                                    
SUZLON-RE,BE,INE040H20013,SUZLON ENERGY LTD,RE                                                                                                        
AKG-RE,BE,INE00Y820016,AKG EXIM LIMITED,RE                                                                                                            
EC1RD,MF,INF903JA1CI2,SUNDARMAMC - EC1RD,EF                                                                                                           
PATEL-RE,BE,INE244B20014,PATEL ENGINEERING LIMITED,RE                                                                                                 
CGCL-RE,BE,INE180C20018,CAPRI GLOBAL CAP LTD,RE                                                                                                       
PRAXIS-RE1,BE,INE546Y20022,PRAXIS HOME RETAIL LTD,RE                                                                                                  
PRAXIS-RE1,BL,INE546Y20022,PRAXIS HOME RETAIL LTD,RE                                                                                                  
BANKETF,EQ,INF769K01KR3,MIRAEAMC - BANKETF,EF                                                                                                         
IRBIT-RE,BL,INE0C8K20042,IRB INFRA TRU RE,RE                                                                                                          
PLPHAR-RE,BL,INE0DK520011,PIRAMAL PHARMA LIMITED,RE                                                                                                   
ICICIQTY30,BL,INF109KC15T5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
DUDIG-RE,ST,INE0HPK20012,DUDIGITAL GLOBAL LIMITED,RE                                                                                                  
MARSHAL-RE,BE,INE00SZ20018,MARSHALL MACHINES LIMITED,RE                                                                                               
SENSEXIETF,EQ,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
SENSEXIETF,BL,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
MIDSELIETF,BL,INF109KC10W0,ICICI PRUD MIDCAP SEL ETF,EF                                                                                               
HEALTHADD,EQ,INF740KA1UF4,DSPAMC - HEALTHADD,EF                                                                                                       
MAGNUM-RE,BE,INE387I20016,MAGNUM VENTURES LIMITED,RE                                                                                                  
ADRO-RE,EQ,INE737B20017,ADROIT INFOTECH LIMITED,RE                                                                                                    
SMALLCAP,EQ,INF769K01LC3,MIRAEAMC - SMALLCAP,EF                                                                                                       
IRBIT-RE1,BL,INE0C8K20059,IRB INFRA TRUST RE,RE                                                                                                       
MOSMALL250,BL,INF247L01CH6,MOTILALAMC - MOSMALL250,EF                                                                                                 
MITCON-RE,BE,INE828O20017,MITCON CON,RE                                                                                                               
SAHANA-RE,ST,INE0LEX20011,SAHANA SYSTEM LIMITED,RE                                                                                                    
GROWWRAIL,EQ,INF666M01JJ6,GROWWAMC - GROWWRAIL,EF                                                                                                     
NIFTY100EW,BL,INF174KA1UW4,KOTAKMAMC - NIFTY100EW,EF                                                                                                  
EQUAL200,BL,INF769K01OA1,MIRAEAMC - EQUAL200,EF                                                                                                       
EVIETF,BL,INF109K1A153,ICICIPRAMC - EVIETF,EF                                                                                                         
M&MFIN-RE1,BE,INE774D20024,MAHINDRA & MAHINDRA RE,RE                                                                                                  
UGRO-RE,BE,INE583D20011,UGRO CAPITAL LTD,RE                                                                                                           
TTL-RE,BL,INE592B20016,T T LTD,RE                                                                                                                     
GROWWPOWER,BL,INF666M01LM6,GROWWAMC - GROWWPOWER,EF                                                                                                   
DAVAN-RE1,BL,INE179G20029,DAVANGERE SUGAR COMPANY,RE                                                                                                  
MANUFGBEES,EQ,INF204KC1GH6,NIPPONAMC - MANUFGBEES,EF                                                                                                  
MANUFGBEES,BL,INF204KC1GH6,NIPPONAMC - MANUFGBEES,EF                                                                                                  
SML100CASE,EQ,INF0R8F01141,ZERODHAAMC - SML100CASE,EF                                                                                                 
GROWWMC150,BL,INF666M01MV5,GROWWAMC - GROWWMC150,EF                                                                                                   
HILTON-RE1,BE,INE788H20025,HILTON METAL FORGING LTD,RE                                                                                                
PHLSRDP,SF,INF769K30035,MIRAEAMC - PHLSRDP,EF                                                                                                         
PHLSDG,SF,INF769K30043,MIRAEAMC - PHLSDG,EF                                                                                                           
PHLSDDI,SF,INF769K30050,MIRAEAMC - PHLSDDI,EF                                                                                                         
538633,MF,INF204KA1ST8,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICICONSU,BL,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
543181,MF,INF204KB13T1,Nippon India Mutual Fund,EF                                                                                                    
543173,MF,INF204KB14U7,Nippon India Mutual Fund,EF                                                                                                    
543176,MF,INF204KB16U2,Nippon India Mutual Fund,EF                                                                                                    
PVR-RE,BL,INE191H20014,PVR LIMITED RE,RE                                                                                                              
MOLDTKPAC,W1,INE893J13016,MOLD TEK PACKAGING LTD,RE                                                                                                   
SEPC-RE2,BL,INE964H20030,SEPC LIMITED,RE                                                                                                              
MOCAPITAL,BL,INF247L01EV3,MOTILALAMC - MOCAPITAL,EF                                                                                                   
BROOKS-RE,BE,INE650L20011,BROOKS LAB LIMITED,RE                                                                                                       
PSUBANKADD,BL,INF740KA1SY9,DSPAMC - DSPPSBKETF,EF                                                                                                     
MOKSH-RE,BL,INE514Y20012,MOKSH ORNAMENTS LIMITED,RE                                                                                                   
GICL-RE,ST,INE947T20014,GLOBE INTL CARRIERS LTD,RE                                                                                                    
METALIETF,EQ,INF109KC19W1,ICICIPRAMC - METALIETF,EF                                                                                                   
FLEXIADD,EQ,INF740KA1WU9,DSPAMC - FLEXIADD,EF                                                                                                         
INTERNET,BL,INF769K01PB6,MIRAEAMC - INTERNET,EF                                                                                                       
ESSEN-RE1,BE,INE418N20027,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
MIDCAP,BL,INF174KA1ZC5,KOTAKMAMC - KOTAKMID50,EF                                                                                                      
SENSEXETF,BL,INF769K01KT9,MIRAEAMC - SENSEXETF,EF                                                                                                     
ICICINIFTY,BL,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                    
ICICINV20,EQ,INF109KB1WY5,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                
MOTOUR,BL,INF247L01FP2,MOTILALAMC - MOTOUR,EF                                                                                                         
ELM250,EQ,INF754K01VV4,EDELAMC - ELM250,EF                                                                                                            
ELM250,BL,INF754K01VV4,EDELAMC - ELM250,EF                                                                                                            
QSIFAADP,SF,INF966L30258,QUANT AMC - QSIFAADP,EF                                                                                                      
QSIFAARR,SF,INF966L30233,QUANT AMC - QSIFAARR,EF                                                                                                      
NIFTYBETF,BL,INF0QA701722,BFAM - NIFTYBETF,EF                                                                                                         
AURUM-RE,BL,INE898S20011,AURUM PROPTECH LIMITED,RE                                                                                                    
SMF542,MF,INF903J01M36,SUNDARMAMC - SMF542,EF                                                                                                         
SMF543,MF,INF903J01M44,SUNDARMAMC - SMF543,EF                                                                                                         
SMF544,MF,INF903J01M51,SUNDARMAMC - SMF544,EF                                                                                                         
T4RD,MF,INF903J017A2,SUNDARMAMC - T4RD,EF                                                                                                             
SC2RD,MF,INF903J01X74,SUNDARMAMC - SC2RD,EF                                                                                                           
BANKBEES,EQ,INF204KB15I9,NIP IND ETF BANK BEES,EF                                                                                                     
NIFTYBEES,EQ,INF204KB14I2,NIP IND ETF NIFTY BEES,EF                                                                                                   
T5RG,MF,INF903J018C6,SUNDARMAMC - T5RG,EF                                                                                                             
NAGREE-RE,BL,INE123B20010,NAGREEKA EXPORTS LIMITED,RE                                                                                                 
RUSHI-RE1,BE,INE573K20025,RUSHIL DECOR LIMITED,RE                                                                                                     
SMALLIETF,EQ,INF109K1A476,ICICIPRAMC - SMALLIETF,EF                                                                                                   
HDFCNIF100,EQ,INF179KC1HR4,HDFCAMC - HDFCNIF100,EF                                                                                                    
BBNPNBETF,BL,INF251K01TL6,BARODABNP - BBNPNBETF,EF                                                                                                    
AXISBNKETF,BL,INF846K01X63,AXISAMC - AXISBNKETF,EF                                                                                                    
HILTON-RE2,BE,INE788H20033,HILTON METAL FORGING LTD,RE                                                                                                
HILTON-RE2,BL,INE788H20033,HILTON METAL FORGING LTD,RE                                                                                                
BHANDA-RE2,BE,INE474E20037,BHANDARI HOSIERY EXP LTD,RE                                                                                                
EC7DD,MF,INF903JA1FI5,SUNDARMAMC - EC7DD,EF                                                                                                           
EC7RG,MF,INF903JA1FF1,SUNDARMAMC - EC7RG,EF                                                                                                           
GVPTECH-RE,BE,INE382T20014,GVP INFOTECH LTD,RE                                                                                                        
MULTICAP,BL,INF769K01LX9,MIRAEAMC - MULTICAP,EF                                                                                                       
GATDVR-RE,BL,INE224E20044,GACM TECHNOLOGIES LTD,RE                                                                                                    
GROWWEV,EQ,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                         
NEXT50ADD,BL,INF740KA1XU7,DSPAMC - NEXT50ADD,EF                                                                                                       
EFCIL-RE,BL,INE886D20018,EFC (I) LTD,RE                                                                                                               
543180,MF,INF204KB17T2,Nippon India Mutual Fund,EF                                                                                                    
AXSENSEX,BL,INF846K010Q0,AXISAMC - AXSENSEX,EF                                                                                                        
SPAND-RE,BE,INE572J20011,SPANDANA SPHOORTY FIN,RE                                                                                                     
SBIETFIT,EQ,INF200KA1S14,SBIAMC - SBIETFIT,EF                                                                                                         
DIVIDEND,BL,INF769K01PY8,MIRAEAMC - DIVIDEND,EF                                                                                                       
ITBETA,EQ,INF789F1AZD8,UTIAMC-ITBETA,EF                                                                                                               
ITBETA,BL,INF789F1AZD8,UTIAMC-ITBETA,EF                                                                                                               
NEXT50ETF,BL,INF174KA1YO3,KOTAKMAMC - NEXT50ETF,EF                                                                                                    
EC2RD,MF,INF903JA1CQ5,SUNDARMAMC - EC2RD,EF                                                                                                           
ESSEN-RE2,BE,INE418N20035,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
EQUAL50,BL,INF769K01OO2,MIRAEAMC - EQUAL50,EF                                                                                                         
MID150,BL,INF174KA1VW2,KOTAKMAMC - MID150,EF                                                                                                          
SSFL-RE,ST,INE0ON220012,SRIVARI SPICES N FOODS L,RE                                                                                                   
BANK10ADD,EQ,INF740KA1YH2,DSPAMC - BANK10ADD,EF                                                                                                       
MOMGF,EQ,INF247L01FK3,MOTILALAMC - MOMGF,EF                                                                                                           
AONENIFTY,EQ,INF1J2R01064,AONEAMC - AONENIFTY,EF                                                                                                      
BANKADD,BL,INF740KA1RX3,DSPAMC - DSPBANK,EF                                                                                                           
GODHA-RE,BE,INE925Y20010,GODHA CABCON INSULAT LTD,RE                                                                                                  
HDFCMID150,EQ,INF179KC1HT0,HDFCAMC - HDFCMID150,EF                                                                                                    
EC5DD,MF,INF903JA1EO6,SUNDARMAMC - EC5DD,EF                                                                                                           
IRIS-RE,BL,INE01GN20017,IRIS CLOTHINGS LIMITED,RE                                                                                                     
SANG-RE,BE,INE753W20010,SANGINITA CHEMICALS LTD,RE                                                                                                    
544651,MF,INF277K30013,Tata Mutual Fund,EF                                                                                                            
NEXT50BETA,EQ,INF789F1AUW9,UTIAMC-NEXT50BETA,EF                                                                                                       
UPL-RE,BL,INE628A20010,UPL LIMITED,RE                                                                                                                 
MHLSRD,SF,INF200K30023,SBIAMC - MHLSRD,EF                                                                                                             
SADHNA-RE,BE,INE888C20024,SADHANA NITROCHEM LTD,RE                                                                                                    
GSM-RE,ST,INE0SQY20018,GSM FOILS LTD,RE                                                                                                               
ECAPINSURE,BL,INF754K01TX4,EDELAMC - ECAPINSURE,EF                                                                                                    
HILTON-RE,BE,INE788H20017,HILTON METAL FORGING LIMI,RE                                                                                                
CAPTRU-RE1,BL,INE707C20026,CAPITAL TRUST LTD,RE                                                                                                       
INFIBE-RE,BE,INE483S20012,INFIBEAM AVENUES LTD,RE                                                                                                     
INFIBE-RE,BL,INE483S20012,INFIBEAM AVENUES LTD,RE                                                                                                     
MAFANG,EQ,INF769K01HF4,MIRAEAMC - MAFANG,EF                                                                                                           
PHARMABEES,BL,INF204KC1089,NIPPONAMC - NETFPHARMA,EF                                                                                                  
AUTOBEES,BL,INF204KC1337,NIPPONAMC - NETFAUTO,EF                                                                                                      
DIVOPPBEES,EQ,INF204KA1MS3,NIP IND ETF DIV OPP,EF                                                                                                     
ITADD,BL,INF740KA1SX1,DSPAMC - DSPIT,EF                                                                                                               
ICICIMOM30,EQ,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                 
NIFTYQLITY,EQ,INF209KB15K4,BIRLASLAMC - NIFTYQLITY,EF                                                                                                 
532985,BL,INF174KA1JD7,KOTAK MAHINDRA MUTUAL FUND,EF                                                                                                  
541972,EQ,INF200KA1VQ2,SBI Mutual Fund,EF                                                                                                             
HDFCPVTBAN,EQ,INF179KC1HZ7,HDFCAMC - HDFCPVTBAN,EF                                                                                                    
ICICICOMMO,EQ,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                 
SHAREINDIA,W1,INE932X13013,SHARE IND. SECURITIES LTD,RE                                                                                               
PSUBNKIETF,BL,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
LOWVOLIETF,EQ,INF109KC19U5,ICICI PR NIF LW VL 30 ETF,EF                                                                                               
LLOYDS-RE,BE,INE093R20011,LLOYDS ENGG WORK LIMITED,RE                                                                                                 
GRASIM-RE,BL,INE047A20013,GRASIM IND LTD,RE                                                                                                           
GREEN-RE1,BE,INE999K20022,ORIENT GREEN POWER CO LTD,RE                                                                                                
CONSUMER,BL,INF769K01NS5,MIRAEAMC - CONSUMER,EF                                                                                                       
CAMLIN-RE,BE,INE052I20016,CAMLIN FINE SCIENCES LTD,RE                                                                                                 
GROWWN200,BL,INF666M01JV1,GROWWAMC - GROWWN200,EF                                                                                                     
FUSI-RE,BE,INE139R20012,FUSION FINANCE LIMITED,RE                                                                                                     
MON50EQUAL,BL,INF247L01FC0,MOTILALAMC - MON50EQUAL,EF                                                                                                 
GROWWLOVOL,EQ,INF666M01LB9,GROWWAMC - GROWWLOVOL,EF                                                                                                   
3IINFO-RE,BE,INE748C20012,3I INFOTECH LTD,RE                                                                                                          
GROWWSC250,EQ,INF666M01MO0,GROWWAMC - GROWWSC250,EF                                                                                                   
ABFRL,W1,INE647O13016,ADITYA BIRLA FAS & RT LTD,RE                                                                                                    
NGIL-RE1,BE,INE236Y20020,NAKODA GRP OF IND LTD,RE                                                                                                     
ENERGY,EQ,INF769K01PR2,MIRAEAMC - ENERGY,EF                                                                                                           
GROWWMC150,EQ,INF666M01MV5,GROWWAMC - GROWWMC150,EF                                                                                                   
SILGO-RE1,BL,INE01II20021,SILGO RETAIL LTD,RE                                                                                                         
PRESS-RE,ST,INE0R1620012,PRESSTONIC ENGINEERING L,RE                                                                                                  
STALL-RE,BL,INE0RYC20010,STALLION FLUOROCHEM LTD,RE                                                                                                   
DURLAX-RE,ST,INE0OUW20013,DURLAX TOP SURFACE L,RE                                                                                                     
TIL-RE1,BE,INE806C20026,TIL LTD,RE                                                                                                                    
SBISMLETF,EQ,INF200KB1AY9,SBIAMC - SBISMLETF,EF                                                                                                       
SBISMLETF,BL,INF200KB1AY9,SBIAMC - SBISMLETF,EF                                                                                                       
PVTBKGROWW,EQ,INF666M01OT5,GROWWAMC - PVTBKGROWW,EF                                                                                                   
QSIFHRP,SF,INF966L30118,QUANT AMC - QSIFHRP,EF                                                                                                        
PHLSRDI,SF,INF769K30027,MIRAEAMC - PHLSRDI,EF                                                                                                         
FMCGADD,BL,INF740KA1ZA4,DSPAMC - FMCGADD,EF                                                                                                           
EC4DG,MF,INF903JA1DP5,SUNDARMAMC - EC4DG,EF                                                                                                           
MHLSDG,SF,INF200K30049,SBIAMC - MHLSDG,EF                                                                                                             
538591,MF,INF204KA1RY0,RELIANCE MUTUAL FUND - RELIANC,EF                                                                                              
NIF100IETF,BL,INF109KC16V9,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
543179,MF,INF204KB16T4,Nippon India Mutual Fund,EF                                                                                                    
DUCON-RE,BE,INE741L20018,DUCON INFRATECH LTD,RE                                                                                                       
GROWWRLTY,EQ,INF666M01MN2,GROWWAMC - GROWWRLTY,EF                                                                                                     
SEPC-RE3,BE,INE964H20055,SEPC LTD,RE                                                                                                                  
SEPC-RE3,BL,INE964H20055,SEPC LTD,RE                                                                                                                  
PATELEG-RE,BE,INE244B20022,PATEL ENGINEERING LTD,RE                                                                                                   
PATELEG-RE,BL,INE244B20022,PATEL ENGINEERING LTD,RE                                                                                                   
SEPC-RE1,BE,INE964H20022,SEPC LIMITED,RE                                                                                                              
MIDQ50ADD,BL,INF740KA1QL0,DSPAMC - DSPQ50ETF,EF                                                                                                       
PVTBANKADD,EQ,INF740KA1TA7,DSPAMC - DSPPVBKETF,EF                                                                                                     
HDFCNIFTY,BL,INF179KC1965,HDFCAMC - HDFCNIFTY,EF                                                                                                      
GICL-RE,SL,INE947T20014,GLOBE INTL CARRIERS LTD,RE                                                                                                    
EXICOM-RE,BL,INE777F20014,EXICOM TELE-SYSTEMS LTD,RE                                                                                                  
GATDVR-RE,BE,INE224E20044,GACM TECHNOLOGIES LTD,RE                                                                                                    
LOWVOL1,BL,INF174KA1IY5,KOTAKMAMC - KOTAKLOVOL,EF                                                                                                     
SOBHA-RE,BE,INE671H20015,SOBHA LTD-RE,RE                                                                                                              
AARTI-RE,BE,INE09EO20013,AARTI SURFACTANTS LIMITED,RE                                                                                                 
RHEXHDDIR,SF,INF336L30056,HSBCAMC - RHEXHDDIR,EF                                                                                                      
JFL-RE,SL,INE0LA920015,JFL LIFE SCIENCES LTD,RE                                                                                                       
RELTD-RE,BL,INE206N20018,RAVINDRA ENERGY LTD,RE                                                                                                       
JTEKT-RE,BL,INE643A20019,JTEKT INDIA LTD,RE                                                                                                           
M16RG,MF,INF903JA1BB9,SUNDARMAMC - M16RG,EF                                                                                                           
ICICISENSX,BL,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
GROWWNXT50,BL,INF666M01LZ8,GROWWAMC - GROWWNXT50,EF                                                                                                   
ICICIBANKN,EQ,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                   
UTKAR-RE,BL,INE735W20017,UTKARSH SMALL FIN BANK L,RE                                                                                                  
GLOBE-RE1,BL,INE581X20021,GLOBE TEXTILES LTD,RE                                                                                                       
IRBIT-RE1,ID,INE0C8K20059,IRB INFRA TRUST RE,RE                                                                                                       
BCIL-RE,BL,INE414D20019,BHAGIRADHA CHEM & IND LTD,RE                                                                                                  
BANKBETF,EQ,INF0QA701714,BFAM - BANKBETF,EF                                                                                                           
CYBER-RE,BE,INE278G20011,CYBER MEDIA (INDIA) LTD,RE                                                                                                   
SPENCER-RE,BE,INE020820010,SPENCERS RETAIL RE,RE                                                                                                      
SM546,MF,INF903J01M77,SUNDARMAMC - SM546,EF                                                                                                           
ISMCSRIIRG,MF,INF903J01YY7,SUNDARMAMC - ISMCSRIIRG,EF                                                                                                 
SMCSRIIRD,MF,INF903J01YZ4,SUNDARMAMC - SMCSRIIRD,EF                                                                                                   
LICNFNHGP,EQ,INF767K01PC8,LICNAMC - LICNFNHGP,EF                                                                                                      
SETFNIFBK,EQ,INF200KA1580,SBI-ETF NIFTY BANK,EF                                                                                                       
EBANK,EQ,INF754K01EL1,EDELWEISS ETF-NIFTY BANK,EF                                                                                                     
LICNETFSEN,EQ,INF767K01OT5,LICNAMC - LICNFESGP,EF                                                                                                     
LICNETFN50,BL,INF767K01OS7,LICNAMC - LICNFENGP,EF                                                                                                     
INFRABEES,EQ,INF732E01268,NIP IND ETF INFRA BEES,EF                                                                                                   
EC3RG,MF,INF903JA1DB5,SUNDARMAMC - EC3RG,EF                                                                                                           
ABSLNN50ET,EQ,INF209KB16D7,BIRLASLAMC - ABSLNN50ET,EF                                                                                                 
RUSHI-RE1,BL,INE573K20025,RUSHIL DECOR LIMITED,RE                                                                                                     
SKIPPER-RE,BL,INE439E20014,SKIPPER LIMITED,RE                                                                                                         
VHLTD-RE,BL,INE048C20017,VICEROY HOTELS LTD,RE                                                                                                        
ESSEN-RE,BL,INE418N20019,INTEGRA ESSENTIA LIMITED,RE                                                                                                  
GROWWNXT50,EQ,INF666M01LZ8,GROWWAMC - GROWWNXT50,EF                                                                                                   
EFCIL-RE,BE,INE886D20018,EFC (I) LTD,RE                                                                                                               
SOLARA-RE,BL,INE624Z20016,SOLARA ACTIVE PHA SCI LTD,RE                                                                                                
WOCKH-RE,BL,INE049B20017,WOCKHARDT LIMITED,RE                                                                                                         
IDFNIFTYET,BL,INF194KA1U07,BANDHANAMC - IDFNIFTYET,EF                                                                                                 
AXSENSEX,EQ,INF846K010Q0,AXISAMC - AXSENSEX,EF                                                                                                        
PATINT-RE2,BE,INE529D20030,PATEL INTEGRATED LOGISTIC,RE                                                                                               
ORIENT-RE,BL,INE998H20012,ORIENTAL TRIMEX LIMITED,RE                                                                                                  
SHRERA-RE,BL,INE879A20019,SHREE RAMA MULTI-TECH LTD,RE                                                                                                
INDO-RE,BE,INE227G20018,INDOWIND ENERGY LIMITED,RE                                                                                                    
ICICIB22,EQ,INF109KB15Y7,ICICIPRAMC - BHARATIWIN,EF                                                                                                   
SBIETFPB,EQ,INF200KA1S22,SBIAMC - SBIETFPB,EF                                                                                                         
REFEX-RE,BE,INE056I20017,REFEX INDUSTRIES RE,RE                                                                                                       
REFEX-RE,BL,INE056I20017,REFEX INDUSTRIES RE,RE                                                                                                       
JYOTI-RE1,BE,INE197A20024,JYOTI STRUCTURES LIMITED,RE                                                                                                 
EVINDIA,BL,INF769K01LQ3,MIRAEAMC - EVINDIA,EF                                                                                                         
MSCIADD,EQ,INF740KA1WV7,DSPAMC - MSCIADD,EF                                                                                                           
MSCIADD,BL,INF740KA1WV7,DSPAMC - MSCIADD,EF                                                                                                           
EC2DD,MF,INF903JA1CS1,SUNDARMAMC - EC2DD,EF                                                                                                           
EC2DG,MF,INF903JA1CR3,SUNDARMAMC - EC2DG,EF                                                                                                           
LLOYDS-RE1,BE,INE093R20029,LLOYDS ENG WORKS LTD,RE                                                                                                    
INFRAIETF,EQ,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                  
TIL-RE,BL,INE806C20018,TIL LTD,RE                                                                                                                     
MOBANK10,EQ,INF247L01GV8,MOTILALAMC - MOBANK10,EF                                                                                                     
GATECH-RE,BL,INE224E20010,GACM TECHNOLOGIES LIMITED,RE                                                                                                
HERIT-RE,BE,INE978A20019,HERITAGE FOODS LTD,RE                                                                                                        
MAHLOG-RE,BL,INE766P20016,MAHINDRA LOGISTICS LTD,RE                                                                                                   
BSLSENETFG,BL,INF209KB10E8,BIRLASLAMC - BSLSENETFG,EF                                                                                                 
