"Security Name","Symbol Name","Trade Date","Quantity"
"BAJAJ HINDUSTAN LTD","BAJAJHIND","02-Jul-2026","3"
"TATA CONSULTANCY SERV LT","TCS","02-Jul-2026","27"
"HEXAWARE TECHNOLOGIES LTD","HEXT","02-Jul-2026","119"
"L&T FINANCE LIMITED","LTF","02-Jul-2026","25"
"WEBSOL ENERGY SYSTEM LTD","WEBELSOLAR","02-Jul-2026","4205"
"BANK OF INDIA","BANKINDIA","02-Jul-2026","5"
"BALU FORGE INDUSTRIES LTD","BALUFORGE","02-Jul-2026","1"
"ACME SOLAR HOLDINGS LTD","ACMESOLAR","02-Jul-2026","20"
"CEMINDIA PROJECTS LIMITED","CEMPRO","02-Jul-2026","1086"
"OIL INDIA LTD","OIL","02-Jul-2026","1"
"DLF LIMITED","DLF","02-Jul-2026","111"
"CYIENT LIMITED           ","CYIENT","02-Jul-2026","5484"
"VIKRAM SOLAR LIMITED","VIKRAMSOLR","02-Jul-2026","100"
"DELHIVERY LIMITED","DELHIVERY","02-Jul-2026","1"
"GNG ELECTRONICS LIMITED","EBGNG","02-Jul-2026","1"
"AXIS BANK LIMITED","AXISBANK","02-Jul-2026","8"
"ONE 97 COMMUNICATIONS LTD","PAYTM","02-Jul-2026","76"
"NMDC LTD.","NMDC","02-Jul-2026","50"
"OIL AND NATURAL GAS CORP.","ONGC","02-Jul-2026","100"
"QUESS CORP LIMITED","QUESS","02-Jul-2026","100"
"ICICI BANK LTD.","ICICIBANK","02-Jul-2026","1"
"SAMBHV STEEL TUBES LTD","SAMBHV","02-Jul-2026","100"
"TIPS MUSIC LIMITED","TIPSMUSIC","02-Jul-2026","10"
"INDUSIND BANK LIMITED","INDUSINDBK","02-Jul-2026","1"
"PAGE INDUSTRIES LTD","PAGEIND","02-Jul-2026","2"
"NIPPON L I A M LTD","NAM-INDIA","02-Jul-2026","37"
"Vodafone Idea Limited","IDEA","02-Jul-2026","1"
"BAJAJ FINANCE LIMITED","BAJFINANCE","02-Jul-2026","2"
"MULTI COMMODITY EXCHANGE OF INDIA LIMITED","MCX","02-Jul-2026","10"
"BILLIONBRAINS GARAGE VN L","GROWW","02-Jul-2026","100"
"ETERNAL LIMITED","ETERNAL","02-Jul-2026","23"
"BAJAJ AUTO LIMITED","BAJAJ-AUTO","02-Jul-2026","2"
