MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N4,81ABCL33,ABCL 8.1% SR VI,      1067.50,      1067.49,      1067.49,      1067.49,      1067.49,                    16012.35,15, ,1,      1190.00,       882.80
N,N5,1050ISFL28,SEC RE NCD 10.50% SR 6,      1036.20,      1036.20,      1036.20,      1036.00,      1036.00,                   518038.00,500, ,2,      1099.00,       931.00
N,N5,751HUDCO28,7.51 NCD 16FEB28 TR1 SR2,      1056.00,      1062.99,      1062.99,      1062.99,      1062.99,                    21259.80,20, ,2,      1115.00,      1030.02
N,N5,805ABCL28,ABCL 8.05% SR III,      1040.00,      1050.00,      1050.00,      1050.00,      1050.00,                    52500.00,50, ,1,      1079.00,       895.00
N,N5,830PFCL27,8.30% TAX FREE NCD,      1070.13,      1072.00,      1072.00,      1072.00,      1072.00,                   321600.00,300, ,4,      1119.90,      1029.21
N,N5,873NTPC28,8.73%S-R-NCD SERIES 2B,      1109.01,      1125.00,      1125.00,      1125.00,      1125.00,                     9000.00,8, ,1,      1175.00,      1071.71
N,N5,879NHPC28,8.79% SEC RED BOND S2B,      1085.01,      1194.90,      1194.90,      1194.90,      1194.90,                    95592.00,80, ,1,      1198.99,      1062.26
N,N5,880IREDA29,IREDA 8.80NCDTR I SR II B,      1097.42,      1128.96,      1128.96,      1128.96,      1128.96,                     1128.96,1, ,1,      1189.89,      1079.81
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,      1003.00,      1003.00,      1003.00,      1003.00,      1003.00,                    53159.00,53, ,1,      1029.59,       896.25
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,      1000.80,      1000.80,      1004.95,      1000.00,      1001.00,                   256081.47,256, ,18,      1004.98,       810.60
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,      1040.00,       975.50,      1040.00,       975.50,      1001.00,                   173987.50,176, ,6,      1110.00,       975.50
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,      1090.00,      1080.20,      1080.20,      1080.20,      1080.20,                     1080.20,1, ,1,      1092.56,       973.20
N,N6,720PFCL36,PFCL 7.20% 2036 SR II,      1021.50,      1021.44,      1022.00,      1021.44,      1022.00,                   449480.00,440, ,5,      1022.00,       962.75
N,N6,805NMC34,NMC 8.05% 2034 SR STRPP F,       126.50,       126.50,       126.50,       126.50,       126.50,                     3162.50,25, ,1,       126.50,       118.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1106.89,      1108.00,      1108.00,      1102.00,      1105.86,                   943110.35,853, ,22,      1250.00,      1079.00
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1275.62,      1273.00,      1275.00,      1268.00,      1275.00,                   460881.17,362, ,5,      1338.00,      1208.60
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1240.00,      1258.78,      1258.78,      1258.78,      1258.78,                     6293.90,5, ,1,      1520.00,      1181.12
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6265.02,      6270.00,      6280.00,      6270.00,      6278.53,                   539860.05,86, ,4,      7390.00,      6030.10
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,       999.71,      1005.00,      1008.00,       999.71,      1008.00,                    10040.13,10, ,4,      1200.00,       956.47
N,N7,105IIFL29,UNSEC RED NCD 10.5% SR.VI,      1023.00,      1089.00,      1089.00,      1023.00,      1060.45,                   136024.00,128, ,3,      1508.00,       954.00
N,N7,774IREDA31,7.74% TAX FREE NCD,      1122.00,      1126.90,      1126.90,      1126.69,      1126.69,                     7888.09,7, ,3,      1171.00,      1078.45
N,N7,867PFCL33,8.67% TAX FREE NCD,      1280.00,      1242.01,      1242.01,      1242.01,      1242.01,                   183817.48,148, ,2,      1398.99,      1183.10
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1119.00,      1120.00,      1120.00,      1099.90,      1099.90,                    71391.00,64, ,4,      1182.00,      1040.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1120.00,      1100.00,      1105.00,      1100.00,      1105.00,                     6615.00,6, ,6,      1160.50,      1015.00
N,N8,1102NFL26,SEC RE NCD 11.02% SR.V,      1062.94,       965.00,       965.00,       965.00,       965.00,                    11580.00,12, ,1,      1299.00,       965.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1105.00,      1119.94,      1119.94,      1119.94,      1119.94,                     1119.94,1, ,1,      1175.00,      1083.00
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1006.20,      1025.00,      1025.00,      1020.00,      1020.00,                    25600.00,25, ,3,      1107.50,       986.70
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,      1076.80,      1074.00,      1077.90,      1073.01,      1077.90,                   450918.49,419, ,18,      1120.00,      1012.00
N,N8,875PF26,SEC RE NCD 8.75% SR.IV,      1079.00,      1072.00,      1075.00,      1072.00,      1075.00,                    42970.00,40, ,4,      1079.00,       994.00
