MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,CBAZAAR,NET AVENUE TECHNOLOGIES L,         5.20,         5.40,         5.45,         5.40,         5.45,                   477200.00,88000, ,         8.00,         3.05
G,ST,NEWJAISA,NEWJAISA TECHNOLOGIES LTD,        18.35,        18.70,        18.70,        18.70,        18.70,                   476850.00,25500, ,        51.50,        14.00
N,SM,NMSTEEL,NEWMALAYALAM STEEL LTD,        23.00,        27.60,        27.60,        23.40,        23.80,                   359760.00,14400, ,        39.15,        17.40
N,SM,NFPSAMPOOR,NFP SAMPOORNA FOODS LTD,        22.55,        23.20,        23.20,        22.15,        22.70,                   951200.00,42000, ,        54.50,        21.85
N,SM,NIDAN,NIDAN LABS AND HEALTH LTD,        13.80,        12.55,        14.55,        12.55,        14.15,                    96400.00,7000, ,        24.90,        11.50
N,SM,NIKITA,NIKITA GRENTEC RECYCL LTD,        88.90,        85.05,        85.65,        84.50,        84.50,                  2438940.00,28800, ,       156.00,        67.15
N,SM,NIRMAN,NIRMAN AGRI GENTICS LTD,        42.80,        43.10,        43.90,        42.15,        43.40,                   244830.00,5700, ,       231.00,        38.65
N,SM,OBSCP,OBSC PERFECTION LIMITED,       564.95,       574.00,       600.00,       574.00,       594.95,                 34383800.00,58400, ,       600.00,       259.50
N,ST,ONDOOR,ON DOOR CONCEPTS LIMITED,       205.65,       212.00,       212.00,       201.00,       204.95,                  1845090.00,9000, ,       212.00,       100.00
N,ST,OLIL,ONECLICK LOGISTICS IND L,       417.00,       417.50,       418.50,       411.00,       416.50,                  2666840.00,6400, ,       479.90,       191.00
N,ST,ONYX,ONYX BIOTEC LIMITED,        41.65,        41.65,        41.65,        39.60,        41.50,                  2201800.00,54000, ,        53.90,        24.20
N,SM,OPTIVALUE,OPTIVALUE TEK CONSULT LTD,        79.00,        80.00,        80.00,        79.00,        79.00,                   254400.00,3200, ,       107.55,        56.05
N,SM,ORIANA,ORIANA POWER LIMITED,      1594.85,      1607.00,      1620.00,      1592.05,      1597.10,                 28572783.75,17775, ,      3064.00,      1500.00
N,SM,OSELDEVICE,OSEL DEVICES LIMITED,       461.00,       464.00,       484.95,       464.00,       483.60,                 10050550.00,21000, ,       835.00,       276.00
N,ST,OWAIS,OWAIS METAL & MINERAL,       114.80,       114.45,       117.00,       111.20,       116.20,                  1855415.00,16300, ,       600.00,        88.10
N,ST,PSRAJ,P S RAJ STEELS LIMITED,       406.50,       406.50,       425.90,       395.00,       420.90,                  2284350.00,5500, ,       439.95,       138.50
N,SM,PROPEQUITY,P. E. ANALYTICS LIMITED,       227.00,       239.00,       250.00,       239.00,       247.00,                   732600.00,3000, ,       268.00,       145.00
N,SM,PARAGON,PARAGON FINE S.C. LTD.,        47.55,        47.20,        48.50,        47.15,        48.40,                   287100.00,6000, ,        67.75,        34.10
N,ST,PARAMOUNT,PARAMOUNT DYE TEC LIMITED,        36.90,        37.05,        38.70,        37.05,        38.70,                   183780.00,4800, ,        73.90,        33.50
N,SM,PSFL,PARAMOUNT SPECIALI FORG L,        35.00,        34.25,        34.25,        32.85,        33.10,                   332800.00,10000, ,        47.00,        21.15
N,SM,PARAMPARA,PARAMPARA DAIRY DLGHT LTD,        11.35,        11.30,        11.90,        11.30,        11.90,                   559600.00,48000, ,        12.00,         6.80
N,SM,PARIN,PARIN ENTERPRISES LIMITED,       715.30,       708.00,       738.80,       699.00,       720.55,                 12306025.00,17250, ,       748.00,       311.65
N,ST,PARTH,PARTH ELEC & ENG LTD,       422.10,       425.00,       425.00,       416.00,       417.05,                  2525720.00,6000, ,       484.00,       169.00
N,SM,PARTYCRUS,PARTY CRUISERS LIMITED,        82.15,        84.90,        84.90,        84.70,        84.70,                   169600.00,2000, ,       113.85,        63.05
N,ST,PATILAUTOM,PATIL AUTOMATION LIMITED,       207.90,       208.00,       209.00,       203.00,       208.40,                 17254050.00,84000, ,       268.90,       112.05
N,SM,PENTAGON,PENTAGON RUBBER LIMITED,        54.90,        55.90,        56.20,        55.90,        56.15,                   168250.00,3000, ,        99.50,        50.55
N,SZ,PERFECT,PERFECT INFRAENGINEER LTD,         2.70,         2.80,         2.80,         2.80,         2.80,                     8400.00,3000, ,        11.25,         1.30
N,SM,PCCL,PETRO CARBON AND CHEMI L,       244.00,       244.00,       244.00,       242.00,       242.00,                   291800.00,1200, ,       312.00,       166.30
N,SM,PHANTOMFX,PHANTOM DIGITAL EFF LTD,       171.55,       176.00,       176.00,       168.00,       170.35,                  1587660.00,9300, ,       327.95,       156.00
N,SM,PHOGLOBAL,PHOENIX OVERSEAS LIMITED,        19.50,        18.40,        18.40,        18.40,        18.40,                    36800.00,2000, ,        26.00,        15.25
N,ST,PPSL,PICTUREPOST STUDIOS LTD,         3.45,         3.30,         3.30,         3.30,         3.30,                  1336500.00,405000, ,        23.30,         3.30
N,SM,POLYSIL,POLYSIL IRRIGATION SYST L,       135.00,       137.00,       137.00,       130.65,       130.65,                   531625.00,4000, ,       356.75,        73.35
