DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTCUR,GBPUSD,31-JUL-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,07-AUG-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,14-AUG-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,21-AUG-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,27-AUG-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,28-AUG-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,04-SEP-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,11-SEP-2026,1.3253000
02-JUL-2026,FUTCUR,GBPUSD,28-SEP-2026,1.3252000
02-JUL-2026,FUTCUR,GBPUSD,28-OCT-2026,1.3252000
02-JUL-2026,FUTCUR,GBPUSD,26-NOV-2026,1.3251000
02-JUL-2026,FUTCUR,GBPUSD,29-DEC-2026,1.3251000
02-JUL-2026,FUTCUR,GBPUSD,27-JAN-2027,1.3250000
02-JUL-2026,FUTCUR,GBPUSD,24-FEB-2027,1.3250000
02-JUL-2026,FUTCUR,GBPUSD,29-MAR-2027,1.3249000
02-JUL-2026,FUTCUR,GBPUSD,28-APR-2027,1.3249000
02-JUL-2026,FUTCUR,GBPUSD,27-MAY-2027,1.3248000
02-JUL-2026,FUTCUR,GBPUSD,28-JUN-2027,1.3247000
02-JUL-2026,FUTCUR,JPYINR,03-JUL-2026,58.8100000
02-JUL-2026,FUTCUR,JPYINR,10-JUL-2026,58.8875000
02-JUL-2026,FUTCUR,JPYINR,17-JUL-2026,58.9675000
02-JUL-2026,FUTCUR,JPYINR,24-JUL-2026,59.0475000
02-JUL-2026,FUTCUR,JPYINR,29-JUL-2026,59.1025000
02-JUL-2026,FUTCUR,JPYINR,31-JUL-2026,59.1250000
02-JUL-2026,FUTCUR,JPYINR,07-AUG-2026,59.1375000
02-JUL-2026,FUTCUR,JPYINR,14-AUG-2026,59.2025000
02-JUL-2026,FUTCUR,JPYINR,21-AUG-2026,59.2700000
02-JUL-2026,FUTCUR,JPYINR,27-AUG-2026,59.3275000
02-JUL-2026,FUTCUR,JPYINR,28-AUG-2026,59.3375000
02-JUL-2026,FUTCUR,JPYINR,04-SEP-2026,59.4025000
02-JUL-2026,FUTCUR,JPYINR,11-SEP-2026,59.4700000
02-JUL-2026,FUTCUR,JPYINR,28-SEP-2026,59.6325000
02-JUL-2026,FUTCUR,JPYINR,28-OCT-2026,59.9175000
02-JUL-2026,FUTCUR,JPYINR,26-NOV-2026,60.0225000
02-JUL-2026,FUTCUR,JPYINR,29-DEC-2026,60.3025000
02-JUL-2026,FUTCUR,JPYINR,27-JAN-2027,60.5475000
02-JUL-2026,FUTCUR,JPYINR,24-FEB-2027,60.7850000
02-JUL-2026,FUTCUR,JPYINR,29-MAR-2027,61.0675000
02-JUL-2026,FUTCUR,JPYINR,28-APR-2027,61.3250000
02-JUL-2026,FUTCUR,JPYINR,27-MAY-2027,61.5750000
02-JUL-2026,FUTCUR,JPYINR,28-JUN-2027,61.8525000
02-JUL-2026,FUTCUR,USDINR,03-JUL-2026,95.4175000
02-JUL-2026,FUTCUR,USDINR,10-JUL-2026,95.4950000
02-JUL-2026,FUTCUR,USDINR,17-JUL-2026,95.5750000
02-JUL-2026,FUTCUR,USDINR,24-JUL-2026,95.6525000
02-JUL-2026,FUTCUR,USDINR,29-JUL-2026,95.6175000
02-JUL-2026,FUTCUR,USDINR,31-JUL-2026,95.7325000
02-JUL-2026,FUTCUR,USDINR,07-AUG-2026,95.7025000
02-JUL-2026,FUTCUR,USDINR,14-AUG-2026,95.7600000
02-JUL-2026,FUTCUR,USDINR,21-AUG-2026,95.8175000
02-JUL-2026,FUTCUR,USDINR,27-AUG-2026,95.8200000
02-JUL-2026,FUTCUR,USDINR,28-AUG-2026,95.8750000
02-JUL-2026,FUTCUR,USDINR,04-SEP-2026,95.9325000
02-JUL-2026,FUTCUR,USDINR,11-SEP-2026,95.9900000
02-JUL-2026,FUTCUR,USDINR,28-SEP-2026,96.0025000
02-JUL-2026,FUTCUR,USDINR,28-OCT-2026,96.3800000
02-JUL-2026,FUTCUR,USDINR,26-NOV-2026,96.3400000
02-JUL-2026,FUTCUR,USDINR,29-DEC-2026,96.5525000
02-JUL-2026,FUTCUR,USDINR,27-JAN-2027,96.7375000
02-JUL-2026,FUTCUR,USDINR,24-FEB-2027,96.9175000
02-JUL-2026,FUTCUR,USDINR,29-MAR-2027,97.1300000
02-JUL-2026,FUTCUR,USDINR,28-APR-2027,97.3225000
02-JUL-2026,FUTCUR,USDINR,27-MAY-2027,97.5100000
02-JUL-2026,FUTCUR,USDINR,28-JUN-2027,97.7175000
02-JUL-2026,FUTCUR,USDJPY,03-JUL-2026,162.2800000
02-JUL-2026,FUTCUR,USDJPY,10-JUL-2026,162.2000000
02-JUL-2026,FUTCUR,USDJPY,17-JUL-2026,162.1100000
02-JUL-2026,FUTCUR,USDJPY,24-JUL-2026,162.0300000
02-JUL-2026,FUTCUR,USDJPY,29-JUL-2026,161.9700000
02-JUL-2026,FUTCUR,USDJPY,31-JUL-2026,161.9400000
02-JUL-2026,FUTCUR,USDJPY,07-AUG-2026,161.8600000
02-JUL-2026,FUTCUR,USDJPY,14-AUG-2026,161.7800000
02-JUL-2026,FUTCUR,USDJPY,21-AUG-2026,161.6900000
02-JUL-2026,FUTCUR,USDJPY,27-AUG-2026,161.6200000
02-JUL-2026,FUTCUR,USDJPY,28-AUG-2026,161.6100000
02-JUL-2026,FUTCUR,USDJPY,04-SEP-2026,161.5300000
02-JUL-2026,FUTCUR,USDJPY,11-SEP-2026,161.4400000
02-JUL-2026,FUTCUR,USDJPY,28-SEP-2026,161.2400000
02-JUL-2026,FUTCUR,USDJPY,28-OCT-2026,160.8800000
02-JUL-2026,FUTCUR,USDJPY,26-NOV-2026,160.5400000
02-JUL-2026,FUTCUR,USDJPY,29-DEC-2026,160.1400000
02-JUL-2026,FUTCUR,USDJPY,27-JAN-2027,159.8000000
02-JUL-2026,FUTCUR,USDJPY,24-FEB-2027,159.4700000
02-JUL-2026,FUTCUR,USDJPY,29-MAR-2027,159.0800000
02-JUL-2026,FUTCUR,USDJPY,28-APR-2027,158.7300000
02-JUL-2026,FUTCUR,USDJPY,27-MAY-2027,158.3900000
02-JUL-2026,FUTCUR,USDJPY,28-JUN-2027,158.0200000
02-JUL-2026,OPTCUR,GBPINR,,126.4828000
02-JUL-2026,OPTCUR,JPYINR,,58.7966000
02-JUL-2026,OPTCUR,USDJPY,,162.2916000
02-JUL-2026,OPTCUR,USDINR,,95.4049000
02-JUL-2026,OPTCUR,GBPUSD,,1.3254000
02-JUL-2026,OPTCUR,EURUSD,,1.1349000
02-JUL-2026,OPTCUR,EURINR,,108.2981000
