DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTSTK,DELHIVERY,30-JUL-2026,511.70
02-JUL-2026,FUTSTK,DELHIVERY,25-AUG-2026,514.45
02-JUL-2026,FUTSTK,DELHIVERY,27-AUG-2026,514.45
02-JUL-2026,FUTSTK,DELHIVERY,24-SEP-2026,517.00
02-JUL-2026,FUTSTK,DELHIVERY,29-SEP-2026,517.50
02-JUL-2026,FUTSTK,DIVISLAB,28-JUL-2026,6698.50
02-JUL-2026,FUTSTK,DIVISLAB,30-JUL-2026,6713.50
02-JUL-2026,FUTSTK,DIVISLAB,25-AUG-2026,6722.50
02-JUL-2026,FUTSTK,DIVISLAB,27-AUG-2026,6749.50
02-JUL-2026,FUTSTK,DIVISLAB,24-SEP-2026,6783.00
