Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
02-Jul-2026,INE861G08076 ,97.9568,2500.00,2500.00,7.2000,97.9568,7.2000
02-Jul-2026,INE08E807167 ,100.1463,1.00,757.00,10.2500,98.8737,11.2276
02-Jul-2026,INE07HK07841 ,100.4442,1.00,149.00,10.0000,100.1904,10.4894
02-Jul-2026,INE101Q07CA7 ,97.9680,0.10,287.00,10.7500,97.5510,10.9697
02-Jul-2026,INE0JZO07040 ,100.8635,1.00,1025.00,13.2000,100.3691,13.5410
02-Jul-2026,INE180C07304 ,100.3580,0.20,1028.56,9.0000,98.8041,9.6804
02-Jul-2026,INE0CYK07020 ,100.9705,0.10,15.70,11.5000,100.8309,11.6693
02-Jul-2026,INE0MYJ07179 ,100.2733,1.00,108.10,11.2500,99.9910,11.5824
02-Jul-2026,INE413U07426 ,99.0208,0.10,272.70,11.0000,99.3420,10.6468
02-Jul-2026,INE530B07658 ,99.5633,0.01,37.86,9.0000,99.9243,8.7501
02-Jul-2026,INE906B07IH3 ,97.0137,40.00,40.00,7.3600,97.0137,7.3600
02-Jul-2026,INE14H407116 ,100.4160,0.20,242.30,11.2500,99.2667,12.1013
02-Jul-2026,INE101Q07BU7 ,98.9010,1.00,162.30,10.5000,98.4028,10.8884
02-Jul-2026,INE634S07033 ,100.7050,2500.00,2500.00,7.5500,100.7050,7.5500
02-Jul-2026,INE01XO07058 ,101.6809,0.50,51.40,11.2500,101.2403,11.5651
02-Jul-2026,INE964R07069 ,80.6089,0.20,105.60,13.2500,79.8076,15.7067
02-Jul-2026,INE115A07QV7 ,100.8842,1000.00,2000.00,7.4500,100.8692,7.4525
02-Jul-2026,INE0LN107089 ,100.2179,0.10,419.10,11.6000,99.7975,11.8646
02-Jul-2026,INE0BUS08047 ,98.7059,1.00,6.00,13.3000,98.1177,13.4603
02-Jul-2026,INE229U07186 ,100.4921,0.20,203.80,11.0000,99.9487,11.3852
02-Jul-2026,INE884Q07863 ,100.4536,0.20,38.50,11.3500,100.2831,11.5105
02-Jul-2026,INE071G14HS0 ,99.8755,10000.00,10000.00,6.5000,99.8755,6.5000
02-Jul-2026,INE357L07457 ,100.1670,1000.00,1000.00,7.5400,100.1670,7.5400
02-Jul-2026,INE556F08KZ3 ,98.8412,10000.00,25000.00,7.2250,98.8412,7.2250
02-Jul-2026,INE572J07810 ,100.0758,0.30,752.80,11.7500,99.8705,11.9808
02-Jul-2026,INE0NES07147 ,99.3343,0.40,30.40,13.5000,99.1765,13.8579
02-Jul-2026,INE0I5X07034 ,99.4893,5.00,96.00,15.3000,98.9706,16.0346
02-Jul-2026,INE342T07726 ,100.6960,0.10,514.40,11.0000,100.0035,11.2845
02-Jul-2026,INE261F14PS2 ,98.8508,10000.00,10000.00,6.1500,98.8508,6.1500
02-Jul-2026,INE403Q07FE2 ,100.9971,0.10,701.10,8.2500,100.1892,10.0443
02-Jul-2026,INE572J07794 ,101.8295,1.00,233.00,12.0000,100.6865,12.6127
02-Jul-2026,INE020B08DV3 ,98.5091,2500.00,2500.00,7.2300,98.5091,7.2300
02-Jul-2026,INE07HK07809 ,100.2330,1.00,13.00,10.0000,99.8350,12.0985
02-Jul-2026,INE831R07557 ,100.3559,7500.00,10000.00,7.4500,100.3559,7.4500
02-Jul-2026,INE583D07620 ,99.8105,0.50,16.60,10.2500,99.7969,10.2734
02-Jul-2026,INE498L07137 ,99.7728,5000.00,5000.00,7.4500,99.7728,7.4500
02-Jul-2026,INE03K307074 ,100.0138,0.75,0.75,11.5000,100.0138,11.5000
02-Jul-2026,INE831R07425 ,100.5301,5000.00,5000.00,7.1500,100.5301,7.1500
