EURINR26703104.25CE           ,OPTCUR,EURINR    ,03072026,00104.2500,CE,00,N,P,000000005.0525000,000000000.0000000,000000000.0000000,000000000.0000000,000000005.0525000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703104.25PE           ,OPTCUR,EURINR    ,03072026,00104.2500,PE,00,N,P,000000000.3375000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.3375000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703104.5CE            ,OPTCUR,EURINR    ,03072026,00104.5000,CE,00,N,P,000000004.8425000,000000000.0000000,000000000.0000000,000000000.0000000,000000004.8425000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703104.5PE            ,OPTCUR,EURINR    ,03072026,00104.5000,PE,00,N,P,000000000.3750000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.3750000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703104.75CE           ,OPTCUR,EURINR    ,03072026,00104.7500,CE,00,N,P,000000004.6375000,000000000.0000000,000000000.0000000,000000000.0000000,000000004.6375000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703104.75PE           ,OPTCUR,EURINR    ,03072026,00104.7500,PE,00,N,P,000000000.4175000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.4175000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703104CE              ,OPTCUR,EURINR    ,03072026,00104.0000,CE,00,N,P,000000005.2625000,000000000.0000000,000000000.0000000,000000000.0000000,000000005.2625000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703104PE              ,OPTCUR,EURINR    ,03072026,00104.0000,PE,00,N,P,000000000.3025000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.3025000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703105.25CE           ,OPTCUR,EURINR    ,03072026,00105.2500,CE,00,N,P,000000004.2400000,000000000.0000000,000000000.0000000,000000000.0000000,000000004.2400000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703105.25PE           ,OPTCUR,EURINR    ,03072026,00105.2500,PE,00,N,P,000000000.5125000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.5125000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703105.5CE            ,OPTCUR,EURINR    ,03072026,00105.5000,CE,00,N,P,000000004.0475000,000000000.0000000,000000000.0000000,000000000.0000000,000000004.0475000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703105.5PE            ,OPTCUR,EURINR    ,03072026,00105.5000,PE,00,N,P,000000000.5675000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.5675000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703105.75CE           ,OPTCUR,EURINR    ,03072026,00105.7500,CE,00,N,P,000000003.8575000,000000000.0000000,000000000.0000000,000000000.0000000,000000003.8575000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703105.75PE           ,OPTCUR,EURINR    ,03072026,00105.7500,PE,00,N,P,000000000.6250000,000000000.0000000,000000000.0000000,000000000.0000000,000000000.6250000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
EURINR26703105CE              ,OPTCUR,EURINR    ,03072026,00105.0000,CE,00,N,P,000000004.4375000,000000000.0000000,000000000.0000000,000000000.0000000,000000004.4375000,    ,             0,              0.00,000000000, 000000000,000.00,000.00,02/JUL/2026,      0,000000000.0000000,000000000.0000000,000000000.0000000
