DATE ,SYMBOL,UNDERLYING DAILY VOLATILITY,UNDERLYING ANNUALISED VOLATILITY, FUTURES VOLATILITY,FUTURES ANNUALISED VOLATILITY,APPLICABLE VOLATILITY,APPLICABLE ANNUALISED VOLATILITY
02-Jul-26,EURINR,.439806,8.40248,.436321,8.335899,.436321,8.335899
02-Jul-26,EURUSD,.486836,9.300991,.453505,8.664203,.453505,8.664203
02-Jul-26,GBPINR,.473892,9.053696,.459574,8.780154,.459574,8.780154
02-Jul-26,GBPUSD,.511299,9.768361,.478151,9.135064,.478151,9.135064
02-Jul-26,JPYINR,.604299,11.545109,.636262,12.155778,.636262,12.155778
02-Jul-26,USDINR,.325404,6.216828,.317722,6.070073,.317722,6.070073
02-Jul-26,USDJPY,.625248,11.945348,.603612,11.531996,.603612,11.531996
